chain,contract_address,token_id,metadata_url,metadata,file_url,animation_url,cached_file_url,cached_animation_url,creator_address,updated_date,owner,rarity,attributes,last_sale_price
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/0,"{'image': 'ipfs://QmRRPWG96cmgTn2qSzjwr2qvfNEuhunv6FNeMFGa9bx6mQ', 'attributes': [{'trait_type': 'Earring', 'value': 'Silver Hoop'}, {'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Fur', 'value': 'Robot'}, {'trait_type': 'Clothes', 'value': 'Striped Tee'}, {'trait_type': 'Mouth', 'value': 'Discomfort'}, {'trait_type': 'Eyes', 'value': 'X Eyes'}]}",ipfs://QmRRPWG96cmgTn2qSzjwr2qvfNEuhunv6FNeMFGa9bx6mQ,,https://storage.googleapis.com/sentinel-nft/raw-assets/e45a1f6f4ce083f0718409066b9dce1c7003c72c514e8552cf33515ac103bcea.png,,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,2023-04-19T09:21:36.780881,,"{'strategy': 'open_rarity', 'score': 1.0864997300618404, 'rank': 2273, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:11.056671'}","[{'trait_type': 'Earring', 'display_type': None, 'value': 'Silver Hoop', 'statistics': {'total_count': 882, 'prevalence': 8.82}}, {'trait_type': 'Background', 'display_type': None, 'value': 'Orange', 'statistics': {'total_count': 1273, 'prevalence': 12.73}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Robot', 'statistics': {'total_count': 265, 'prevalence': 2.65}}, {'trait_type': 'Clothes', 'display_type': None, 'value': 'Striped Tee', 'statistics': {'total_count': 412, 'prevalence': 4.12}}, {'trait_type': 'Mouth', 'display_type': None, 'value': 'Discomfort', 'statistics': {'total_count': 208, 'prevalence': 2.08}}, {'trait_type': 'Eyes', 'display_type': None, 'value': 'X Eyes', 'statistics': {'total_count': 243, 'prevalence': 2.43}}]",
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,1,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/1,"{'image': 'ipfs://QmPbxeGcXhYQQNgsC6a36dDyYUcHgMLnGKnF8pVFmGsvqi', 'attributes': [{'trait_type': 'Mouth', 'value': 'Grin'}, {'trait_type': 'Clothes', 'value': 'Vietnam Jacket'}, {'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Eyes', 'value': 'Blue Beams'}, {'trait_type': 'Fur', 'value': 'Robot'}]}",ipfs://QmPbxeGcXhYQQNgsC6a36dDyYUcHgMLnGKnF8pVFmGsvqi,,https://storage.googleapis.com/sentinel-nft/raw-assets/9d1b2dc7a3ae37f313efce97b1bb8af53365809b82be47c169a2fdf61c9f26b1.png,,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,2023-04-19T09:21:36.780922,,"{'strategy': 'open_rarity', 'score': 1.0680869106061617, 'rank': 2666, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:11.731084'}","[{'trait_type': 'Mouth', 'display_type': None, 'value': 'Grin', 'statistics': {'total_count': 713, 'prevalence': 7.13}}, {'trait_type': 'Clothes', 'display_type': None, 'value': 'Vietnam Jacket', 'statistics': {'total_count': 224, 'prevalence': 2.24}}, {'trait_type': 'Background', 'display_type': None, 'value': 'Orange', 'statistics': {'total_count': 1273, 'prevalence': 12.73}}, {'trait_type': 'Eyes', 'display_type': None, 'value': 'Blue Beams', 'statistics': {'total_count': 49, 'prevalence': 0.49}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Robot', 'statistics': {'total_count': 265, 'prevalence': 2.65}}]",
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,10,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/10,"{'image': 'ipfs://QmPQdVU1riwzijhCs1Lk6CHmDo4LpmwPPLuDauY3i8gSzL', 'attributes': [{'trait_type': 'Clothes', 'value': 'Navy Striped Tee'}, {'trait_type': 'Background', 'value': 'Aquamarine'}, {'trait_type': 'Hat', 'value': 'Bayc Hat Red'}, {'trait_type': 'Fur', 'value': 'Dmt'}, {'trait_type': 'Eyes', 'value': 'Eyepatch'}, {'trait_type': 'Mouth', 'value': 'Bored'}]}",ipfs://QmPQdVU1riwzijhCs1Lk6CHmDo4LpmwPPLuDauY3i8gSzL,,https://storage.googleapis.com/sentinel-nft/raw-assets/ca6a2d5f44672f2f1db1e227d7d414d55574686ccb85819cd47aebc64778b3a9.png,,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,2023-04-19T09:21:38.888940,,"{'strategy': 'open_rarity', 'score': 1.0134079265164309, 'rank': 4074, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:14.100671'}","[{'trait_type': 'Clothes', 'display_type': None, 'value': 'Navy Striped Tee', 'statistics': {'total_count': 334, 'prevalence': 3.34}}, {'trait_type': 'Background', 'display_type': None, 'value': 'Aquamarine', 'statistics': {'total_count': 1266, 'prevalence': 12.66}}, {'trait_type': 'Hat', 'display_type': None, 'value': 'Bayc Hat Red', 'statistics': {'total_count': 119, 'prevalence': 1.19}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Dmt', 'statistics': {'total_count': 215, 'prevalence': 2.15}}, {'trait_type': 'Eyes', 'display_type': None, 'value': 'Eyepatch', 'statistics': {'total_count': 333, 'prevalence': 3.33}}, {'trait_type': 'Mouth', 'display_type': None, 'value': 'Bored', 'statistics': {'total_count': 2272, 'prevalence': 22.72}}]","{'asset_type': 'ETH', 'contract_address': None, 'price': 80.0, 'price_usd': 369240.46386894054}"
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,100,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/100,"{'image': 'ipfs://QmTXuAUW4nLqRZ8NCbEaH8tPSYVhqq3hPTYbnqx8p97Yi7', 'attributes': [{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Mouth', 'value': 'Bored Cigarette'}, {'trait_type': 'Hat', 'value': 'Party Hat 2'}, {'trait_type': 'Fur', 'value': 'Dark Brown'}, {'trait_type': 'Eyes', 'value': 'Wide Eyed'}]}",ipfs://QmTXuAUW4nLqRZ8NCbEaH8tPSYVhqq3hPTYbnqx8p97Yi7,,https://storage.googleapis.com/sentinel-nft/raw-assets/1512741aea29a0e4e9da38afd23e2bc1d5748d0887d118b6e351d43dcf27c8fd.png,,0x35f0686c63f50707ea3b5bace186938e4e19f03a,2023-04-19T09:21:36.781269,,"{'strategy': 'open_rarity', 'score': 0.9062125327933637, 'rank': 7740, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:20.256563'}","[{'trait_type': 'Background', 'display_type': None, 'value': 'Yellow', 'statistics': {'total_count': 1283, 'prevalence': 12.83}}, {'trait_type': 'Mouth', 'display_type': None, 'value': 'Bored Cigarette', 'statistics': {'total_count': 710, 'prevalence': 7.1}}, {'trait_type': 'Hat', 'display_type': None, 'value': 'Party Hat 2', 'statistics': {'total_count': 107, 'prevalence': 1.07}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Dark Brown', 'statistics': {'total_count': 1352, 'prevalence': 13.52}}, {'trait_type': 'Eyes', 'display_type': None, 'value': 'Wide Eyed', 'statistics': {'total_count': 549, 'prevalence': 5.49}}]","{'asset_type': 'ETH', 'contract_address': None, 'price': 120.0, 'price_usd': 351944.71340875066}"
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,1000,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/1000,"{'image': 'ipfs://QmS8s3b1g6gUM83QRTkPD7LFYmVPxhpNgbtvbhvTAk5uJk', 'attributes': [{'trait_type': 'Eyes', 'value': 'Hypnotized'}, {'trait_type': 'Mouth', 'value': 'Phoneme  ooo'}, {'trait_type': 'Fur', 'value': 'Brown'}, {'trait_type': 'Background', 'value': 'Aquamarine'}, {'trait_type': 'Clothes', 'value': 'Toga'}, {'trait_type': 'Hat', 'value': 'Prussian Helmet'}]}",ipfs://QmS8s3b1g6gUM83QRTkPD7LFYmVPxhpNgbtvbhvTAk5uJk,,https://storage.googleapis.com/sentinel-nft/raw-assets/5b3e8103c11161c608a8be38d981ba1e46ebda40b82098d878c5ef78ba0a2e55.png,,0xef8e27bad0f2eee4e691e5b1eaab3c019e369557,2023-04-19T09:21:21.022001,,"{'strategy': 'open_rarity', 'score': 1.0735873032644094, 'rank': 2525, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:11.492276'}","[{'trait_type': 'Eyes', 'display_type': None, 'value': 'Hypnotized', 'statistics': {'total_count': 220, 'prevalence': 2.2}}, {'trait_type': 'Mouth', 'display_type': None, 'value': 'Phoneme  ooo', 'statistics': {'total_count': 255, 'prevalence': 2.55}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Brown', 'statistics': {'total_count': 1370, 'prevalence': 13.7}}, {'trait_type': 'Background', 'display_type': None, 'value': 'Aquamarine', 'statistics': {'total_count': 1266, 'prevalence': 12.66}}, {'trait_type': 'Clothes', 'display_type': None, 'value': 'Toga', 'statistics': {'total_count': 202, 'prevalence': 2.02}}, {'trait_type': 'Hat', 'display_type': None, 'value': 'Prussian Helmet', 'statistics': {'total_count': 130, 'prevalence': 1.3}}]",
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,1001,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/1001,"{'image': 'ipfs://QmZpfxHaiASnGQk3E6Dxikr1k1mekapPDo8d5zWP6n4pd7', 'attributes': [{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Hat', 'value': 'Fez'}, {'trait_type': 'Mouth', 'value': 'Bored Unshaven'}, {'trait_type': 'Eyes', 'value': 'Robot'}, {'trait_type': 'Fur', 'value': 'Brown'}]}",ipfs://QmZpfxHaiASnGQk3E6Dxikr1k1mekapPDo8d5zWP6n4pd7,,https://storage.googleapis.com/sentinel-nft/raw-assets/68fd56c9df442171f2248d6482d2011c55ffb2481913112f2e5b2928165e9a1f.png,,0xd5a771da32a392036a98f7da6b11d46d6d1c61f9,2023-04-19T09:21:22.018296,,"{'strategy': 'open_rarity', 'score': 0.823710641108255, 'rank': 9540, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:23.374190'}","[{'trait_type': 'Background', 'display_type': None, 'value': 'Orange', 'statistics': {'total_count': 1273, 'prevalence': 12.73}}, {'trait_type': 'Hat', 'display_type': None, 'value': 'Fez', 'statistics': {'total_count': 377, 'prevalence': 3.77}}, {'trait_type': 'Mouth', 'display_type': None, 'value': 'Bored Unshaven', 'statistics': {'total_count': 1551, 'prevalence': 15.51}}, {'trait_type': 'Eyes', 'display_type': None, 'value': 'Robot', 'statistics': {'total_count': 350, 'prevalence': 3.5}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Brown', 'statistics': {'total_count': 1370, 'prevalence': 13.7}}]","{'asset_type': 'ERC20', 'contract_address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'price': 93.0, 'price_usd': 109281.50228300379}"
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,1002,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/1002,"{'image': 'ipfs://QmUEC5g5nJ5mhibVkpXJJLTBooGSBccrNWfSiaGUtTkP2q', 'attributes': [{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Eyes', 'value': 'Coins'}, {'trait_type': 'Clothes', 'value': 'Prison Jumpsuit'}, {'trait_type': 'Mouth', 'value': 'Bored Cigarette'}, {'trait_type': 'Fur', 'value': 'Dark Brown'}]}",ipfs://QmUEC5g5nJ5mhibVkpXJJLTBooGSBccrNWfSiaGUtTkP2q,,https://storage.googleapis.com/sentinel-nft/raw-assets/4ecc3c2e793b690c8a104b6a5d135d1928fff56ba35e33f1d536025371c2ebff.png,,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,2023-04-19T09:21:27.666232,,"{'strategy': 'open_rarity', 'score': 0.8637391805501559, 'rank': 8867, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:22.189115'}","[{'trait_type': 'Background', 'display_type': None, 'value': 'Orange', 'statistics': {'total_count': 1273, 'prevalence': 12.73}}, {'trait_type': 'Eyes', 'display_type': None, 'value': 'Coins', 'statistics': {'total_count': 479, 'prevalence': 4.79}}, {'trait_type': 'Clothes', 'display_type': None, 'value': 'Prison Jumpsuit', 'statistics': {'total_count': 235, 'prevalence': 2.35}}, {'trait_type': 'Mouth', 'display_type': None, 'value': 'Bored Cigarette', 'statistics': {'total_count': 710, 'prevalence': 7.1}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Dark Brown', 'statistics': {'total_count': 1352, 'prevalence': 13.52}}]","{'asset_type': 'ETH', 'contract_address': None, 'price': 38.5, 'price_usd': 152199.06383826703}"
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,1003,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/1003,"{'image': 'ipfs://QmTycpPMx84hHYgn2hVaDWcZDts4A43KemT9n2dscPrMZ6', 'attributes': [{'trait_type': 'Mouth', 'value': 'Small Grin'}, {'trait_type': 'Background', 'value': 'Gray'}, {'trait_type': 'Clothes', 'value': 'Tweed Suit'}, {'trait_type': 'Fur', 'value': 'Cheetah'}, {'trait_type': 'Eyes', 'value': 'Eyepatch'}]}",ipfs://QmTycpPMx84hHYgn2hVaDWcZDts4A43KemT9n2dscPrMZ6,,https://storage.googleapis.com/sentinel-nft/raw-assets/1c9d9bfc6aa4aa771d7835d80e0a00d1f74d84ca156f62085b5455279e1c14b7.png,,0x8756da913378b865cc6e5bbd8d403995a0b37567,2023-04-19T09:21:21.786834,,"{'strategy': 'open_rarity', 'score': 1.025079159779051, 'rank': 3747, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:13.557606'}","[{'trait_type': 'Mouth', 'display_type': None, 'value': 'Small Grin', 'statistics': {'total_count': 272, 'prevalence': 2.72}}, {'trait_type': 'Background', 'display_type': None, 'value': 'Gray', 'statistics': {'total_count': 1170, 'prevalence': 11.7}}, {'trait_type': 'Clothes', 'display_type': None, 'value': 'Tweed Suit', 'statistics': {'total_count': 141, 'prevalence': 1.41}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Cheetah', 'statistics': {'total_count': 406, 'prevalence': 4.06}}, {'trait_type': 'Eyes', 'display_type': None, 'value': 'Eyepatch', 'statistics': {'total_count': 333, 'prevalence': 3.33}}]","{'asset_type': 'ETH', 'contract_address': None, 'price': 80.0, 'price_usd': 304504.5626202156}"
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,1004,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/1004,"{'image': 'ipfs://QmRjHJG2bhvhmCD3bH9gDUqiuDdXuwCVmBhgMfGFBVh6Ns', 'attributes': [{'trait_type': 'Earring', 'value': 'Silver Stud'}, {'trait_type': 'Hat', 'value': 'Halo'}, {'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Fur', 'value': 'Black'}, {'trait_type': 'Clothes', 'value': 'Sailor Shirt'}, {'trait_type': 'Eyes', 'value': 'Wide Eyed'}, {'trait_type': 'Mouth', 'value': 'Small Grin'}]}",ipfs://QmRjHJG2bhvhmCD3bH9gDUqiuDdXuwCVmBhgMfGFBVh6Ns,,https://storage.googleapis.com/sentinel-nft/raw-assets/7cd26fbb8424ccd2c47e3c7b7050d3e52d43f7e274118375d2dd222126186c85.png,,0xd23b06012790e2d8e01a7607127588b609c27f0c,2023-04-19T09:21:21.398919,,"{'strategy': 'open_rarity', 'score': 1.127309833837743, 'rank': 1537, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:09.738417'}","[{'trait_type': 'Earring', 'display_type': None, 'value': 'Silver Stud', 'statistics': {'total_count': 823, 'prevalence': 8.23}}, {'trait_type': 'Hat', 'display_type': None, 'value': 'Halo', 'statistics': {'total_count': 324, 'prevalence': 3.24}}, {'trait_type': 'Background', 'display_type': None, 'value': 'Purple', 'statistics': {'total_count': 1291, 'prevalence': 12.91}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Black', 'statistics': {'total_count': 1229, 'prevalence': 12.29}}, {'trait_type': 'Clothes', 'display_type': None, 'value': 'Sailor Shirt', 'statistics': {'total_count': 284, 'prevalence': 2.84}}, {'trait_type': 'Eyes', 'display_type': None, 'value': 'Wide Eyed', 'statistics': {'total_count': 549, 'prevalence': 5.49}}, {'trait_type': 'Mouth', 'display_type': None, 'value': 'Small Grin', 'statistics': {'total_count': 272, 'prevalence': 2.72}}]","{'asset_type': 'ETH', 'contract_address': None, 'price': 90.0, 'price_usd': 176565.68019241837}"
ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,1005,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/1005,"{'image': 'ipfs://QmamnQUBpTW9fRbh1L3r23XQU9rXbaSiGaKVui4CahJbox', 'attributes': [{'trait_type': 'Mouth', 'value': 'Bored'}, {'trait_type': 'Fur', 'value': 'Cream'}, {'trait_type': 'Background', 'value': 'Aquamarine'}, {'trait_type': 'Eyes', 'value': 'X Eyes'}]}",ipfs://QmamnQUBpTW9fRbh1L3r23XQU9rXbaSiGaKVui4CahJbox,,https://storage.googleapis.com/sentinel-nft/raw-assets/35057f98680d61ad2fc44b530e7465e17386349d600cd1c01858c986f23fc3c9.png,,0xef651aeb3f20ee4e2bcd22e111d202cde25184bb,2023-04-19T09:21:22.107423,,"{'strategy': 'open_rarity', 'score': 0.889331725841616, 'rank': 8239, 'collection_size': 10000, 'updated_date': '2022-10-26 15:30:21.121013'}","[{'trait_type': 'Mouth', 'display_type': None, 'value': 'Bored', 'statistics': {'total_count': 2272, 'prevalence': 22.72}}, {'trait_type': 'Fur', 'display_type': None, 'value': 'Cream', 'statistics': {'total_count': 636, 'prevalence': 6.36}}, {'trait_type': 'Background', 'display_type': None, 'value': 'Aquamarine', 'statistics': {'total_count': 1266, 'prevalence': 12.66}}, {'trait_type': 'Eyes', 'display_type': None, 'value': 'X Eyes', 'statistics': {'total_count': 243, 'prevalence': 2.43}}]","{'asset_type': 'ETH', 'contract_address': None, 'price': 149.69, 'price_usd': 402524.12107936415}"
