token_id,file_url,creator_address,last_sale_price,score,rank,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
0,ipfs://QmRRPWG96cmgTn2qSzjwr2qvfNEuhunv6FNeMFGa9bx6mQ,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,,1.0864997300618404,2273,Silver Hoop,Orange,Robot,Striped Tee,Discomfort,X Eyes,
1,ipfs://QmPbxeGcXhYQQNgsC6a36dDyYUcHgMLnGKnF8pVFmGsvqi,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,,1.0680869106061617,2666,,Orange,Robot,Vietnam Jacket,Grin,Blue Beams,
10,ipfs://QmPQdVU1riwzijhCs1Lk6CHmDo4LpmwPPLuDauY3i8gSzL,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,"{'asset_type': 'ETH', 'contract_address': None, 'price': 80.0, 'price_usd': 369240.46386894054}",1.0134079265164309,4074,,Aquamarine,Dmt,Navy Striped Tee,Bored,Eyepatch,Bayc Hat Red
100,ipfs://QmTXuAUW4nLqRZ8NCbEaH8tPSYVhqq3hPTYbnqx8p97Yi7,0x35f0686c63f50707ea3b5bace186938e4e19f03a,"{'asset_type': 'ETH', 'contract_address': None, 'price': 120.0, 'price_usd': 351944.71340875066}",0.9062125327933636,7740,,Yellow,Dark Brown,,Bored Cigarette,Wide Eyed,Party Hat 2
1000,ipfs://QmS8s3b1g6gUM83QRTkPD7LFYmVPxhpNgbtvbhvTAk5uJk,0xef8e27bad0f2eee4e691e5b1eaab3c019e369557,,1.0735873032644094,2525,,Aquamarine,Brown,Toga,Phoneme  ooo,Hypnotized,Prussian Helmet
1001,ipfs://QmZpfxHaiASnGQk3E6Dxikr1k1mekapPDo8d5zWP6n4pd7,0xd5a771da32a392036a98f7da6b11d46d6d1c61f9,"{'asset_type': 'ERC20', 'contract_address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'price': 93.0, 'price_usd': 109281.50228300379}",0.823710641108255,9540,,Orange,Brown,,Bored Unshaven,Robot,Fez
1002,ipfs://QmUEC5g5nJ5mhibVkpXJJLTBooGSBccrNWfSiaGUtTkP2q,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,"{'asset_type': 'ETH', 'contract_address': None, 'price': 38.5, 'price_usd': 152199.06383826703}",0.8637391805501559,8867,,Orange,Dark Brown,Prison Jumpsuit,Bored Cigarette,Coins,
1003,ipfs://QmTycpPMx84hHYgn2hVaDWcZDts4A43KemT9n2dscPrMZ6,0x8756da913378b865cc6e5bbd8d403995a0b37567,"{'asset_type': 'ETH', 'contract_address': None, 'price': 80.0, 'price_usd': 304504.5626202156}",1.025079159779051,3747,,Gray,Cheetah,Tweed Suit,Small Grin,Eyepatch,
1004,ipfs://QmRjHJG2bhvhmCD3bH9gDUqiuDdXuwCVmBhgMfGFBVh6Ns,0xd23b06012790e2d8e01a7607127588b609c27f0c,"{'asset_type': 'ETH', 'contract_address': None, 'price': 90.0, 'price_usd': 176565.68019241837}",1.127309833837743,1537,Silver Stud,Purple,Black,Sailor Shirt,Small Grin,Wide Eyed,Halo
1005,ipfs://QmamnQUBpTW9fRbh1L3r23XQU9rXbaSiGaKVui4CahJbox,0xef651aeb3f20ee4e2bcd22e111d202cde25184bb,"{'asset_type': 'ETH', 'contract_address': None, 'price': 149.69, 'price_usd': 402524.12107936415}",0.889331725841616,8239,,Aquamarine,Cream,,Bored,X Eyes,
