,ETH,score,rank,collection_size,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
2,80.0,1.0134079265164309,0.4070105157736605,10000,0.0,1.0,8.0,22.0,1.0,11.0,5.0
3,120.0,0.9062125327933636,0.7741612418627942,10000,0.0,8.0,6.0,0.0,4.0,21.0,18.0
5,93.0,0.823710641108255,0.9544316474712069,10000,0.0,6.0,3.0,0.0,10.0,16.0,12.0
6,38.5,0.8637391805501559,0.8870305458187281,10000,0.0,6.0,6.0,24.0,4.0,8.0,0.0
7,80.0,1.025079159779051,0.3742613920881322,10000,0.0,4.0,4.0,40.0,31.0,11.0,0.0
8,90.0,1.127309833837743,0.1529293940911367,10000,6.0,7.0,1.0,28.0,31.0,21.0,13.0
9,149.69,0.889331725841616,0.8241362043064597,10000,0.0,1.0,5.0,0.0,1.0,22.0,0.0
10,55.0,0.9473562173930782,0.6342513770655984,10000,0.0,6.0,18.0,32.0,10.0,8.0,10.0
11,49.9,0.9291629688278942,0.6978467701552329,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.5,1.0267072780786992,0.36935403104656983,10000,0.0,8.0,10.0,5.0,21.0,6.0,1.0
13,38.7,1.0118336312529113,0.4128192288432649,10000,0.0,5.0,1.0,32.0,27.0,16.0,9.0
14,89.0,0.9161231802200018,0.742113169754632,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,102.45,0.8332052676411529,0.9397095643465199,10000,0.0,8.0,7.0,28.0,1.0,6.0,0.0
17,89.0,1.0235491640670584,0.37776664997496245,10000,0.0,8.0,12.0,21.0,13.0,4.0,19.0
18,129.0,0.8334353721299451,0.9386079118678018,10000,0.0,2.0,10.0,39.0,1.0,19.0,0.0
20,96.0,1.0634224608458744,0.27651477215823733,10000,0.0,5.0,1.0,31.0,2.0,18.0,1.0
22,57.88,0.8149029242873232,0.9629444166249375,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,51.0,0.8669344560864746,0.8781171757636456,10000,0.0,1.0,10.0,5.0,1.0,6.0,15.0
26,0.35,0.8215154205911364,0.9569354031046571,10000,0.0,8.0,3.0,29.0,1.0,21.0,0.0
27,74.2105,0.915670149962405,0.7441161742613921,10000,0.0,4.0,1.0,41.0,1.0,18.0,23.0
28,0.72,0.8660881474973696,0.8799198798197296,10000,0.0,6.0,3.0,0.0,22.0,6.0,6.0
31,0.1499,0.8707844732863445,0.8699048572859289,10000,4.0,5.0,3.0,0.0,20.0,4.0,0.0
32,63.0,0.8735565880012535,0.8634952428642965,10000,0.0,6.0,9.0,20.0,13.0,6.0,0.0
33,80.0,0.976391961959404,0.5335002503755634,10000,6.0,4.0,13.0,0.0,4.0,11.0,6.0
35,150.0,1.1793401196142312,0.0871306960440661,10000,5.0,3.0,2.0,18.0,30.0,4.0,12.0
36,34.9,0.9703912428023748,0.556134201301953,10000,0.0,7.0,1.0,19.0,26.0,19.0,23.0
37,90.69,0.972038901505798,0.5497245868803206,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,79.9,0.8939692280517144,0.8102153229844767,10000,0.0,6.0,18.0,43.0,1.0,6.0,27.0
43,180.0,0.9481735780267316,0.6311467200801202,10000,0.0,1.0,9.0,0.0,2.0,4.0,13.0
45,1.64,1.008352491158742,0.4219328993490235,10000,0.0,7.0,9.0,34.0,25.0,3.0,13.0
46,129.0,1.0254226606430257,0.3731597396094141,10000,0.0,8.0,6.0,32.0,28.0,14.0,3.0
48,34.0,1.0722804150085352,0.2549824737105658,10000,6.0,2.0,12.0,14.0,32.0,11.0,0.0
49,0.475,0.9729009641940788,0.5473209814722083,10000,0.0,8.0,3.0,4.0,20.0,19.0,11.0
50,34.95,1.1510065557809928,0.1185778668002003,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,9.123,1.0426513320680717,0.32488733099649475,10000,2.0,5.0,3.0,22.0,13.0,3.0,0.0
53,1.25,1.021959868186181,0.38217325988983475,10000,0.0,6.0,6.0,41.0,18.0,17.0,25.0
54,56.9,0.8140552218530553,0.9644466700050076,10000,0.0,2.0,12.0,21.0,10.0,6.0,0.0
55,8.38,0.9740289323796422,0.542113169754632,10000,0.0,1.0,1.0,22.0,4.0,2.0,28.0
56,4.9,1.105278925487349,0.18708062093139707,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,96.0,0.9763838319535624,0.5337005508262394,10000,0.0,7.0,1.0,32.0,24.0,21.0,1.0
58,114.5,1.1002990485372788,0.19709564346519778,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,80.0,0.8647563348864539,0.884126189283926,10000,0.0,6.0,12.0,35.0,10.0,19.0,0.0
60,80.0,0.9724859013817309,0.5481221832749125,10000,0.0,8.0,9.0,10.0,10.0,8.0,17.0
61,2.2,0.8598861841345202,0.8939409113670507,10000,0.0,7.0,2.0,26.0,1.0,4.0,6.0
62,1.81,0.8643703167779985,0.885528292438658,10000,0.0,1.0,5.0,0.0,20.0,19.0,12.0
63,9.0,1.0272239835078376,0.36775162744116174,10000,0.0,1.0,8.0,39.0,20.0,2.0,23.0
64,5.49,0.9109373181201516,0.7584376564847272,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,88.0,1.162451244658102,0.1055583375062594,10000,6.0,2.0,13.0,22.0,20.0,22.0,13.0
66,165.0,1.031777337029731,0.35473209814722084,10000,0.0,2.0,6.0,34.0,30.0,16.0,2.0
67,46.69,1.0653460338415766,0.2723084626940411,10000,4.0,1.0,2.0,22.0,28.0,23.0,0.0
68,77.99,0.9307959160808696,0.6932398597896846,10000,6.0,2.0,3.0,13.0,10.0,1.0,0.0
70,79.99,0.9563261723724756,0.6018027040560842,10000,0.0,2.0,6.0,11.0,24.0,7.0,9.0
71,8.88,1.060783452764609,0.2829243865798698,10000,0.0,8.0,2.0,37.0,30.0,19.0,24.0
72,69.0,0.8393443800463424,0.9307961942914372,10000,0.0,8.0,5.0,14.0,10.0,19.0,0.0
73,5.1,0.942890700464658,0.6517776664997497,10000,0.0,5.0,6.0,24.0,10.0,5.0,0.0
74,52.69,1.3029492394410045,0.011517275913870806,10000,5.0,2.0,9.0,9.0,29.0,18.0,8.0
75,72.971,0.933302586755982,0.6844266399599399,10000,0.0,5.0,6.0,38.0,13.0,22.0,0.0
76,88.5,1.1206661133347584,0.1616424636955433,10000,2.0,3.0,14.0,28.0,13.0,20.0,0.0
77,1.6,0.961382710092922,0.584476715072609,10000,0.0,1.0,10.0,5.0,1.0,3.0,21.0
78,5.0,0.9734534039563946,0.5448172258387581,10000,0.0,3.0,3.0,3.0,13.0,8.0,3.0
79,2.8,1.1004071323555908,0.19689534301452177,10000,5.0,3.0,6.0,6.0,20.0,12.0,10.0
81,69.0,1.1471101735537623,0.12398597896845268,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,72.64,1.0544667330130992,0.2960440660991487,10000,0.0,6.0,3.0,33.0,31.0,11.0,27.0
83,22.0,0.9431184407138098,0.6507761642463696,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,79.9,1.0147724445395347,0.40370555833750627,10000,0.0,8.0,18.0,29.0,27.0,2.0,0.0
