,ETH,score,rank,collection_size,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
2,80.0,1.0134079265164309,4074,10000,,Aquamarine,Dmt,Navy Striped Tee,Bored,Eyepatch,Bayc Hat Red
3,120.0,0.9062125327933636,7740,10000,,Yellow,Dark Brown,,Bored Cigarette,Wide Eyed,Party Hat 2
5,93.0,0.823710641108255,9540,10000,,Orange,Brown,,Bored Unshaven,Robot,Fez
6,38.5,0.8637391805501559,8867,10000,,Orange,Dark Brown,Prison Jumpsuit,Bored Cigarette,Coins,
7,80.0,1.025079159779051,3747,10000,,Gray,Cheetah,Tweed Suit,Small Grin,Eyepatch,
8,90.0,1.127309833837743,1537,10000,Silver Stud,Purple,Black,Sailor Shirt,Small Grin,Wide Eyed,Halo
9,149.69,0.889331725841616,8239,10000,,Aquamarine,Cream,,Bored,X Eyes,
10,55.0,0.9473562173930782,6343,10000,,Orange,White,Smoking Jacket,Bored Unshaven,Coins,Cowboy Hat
11,49.9,0.9291629688278942,6978,10000,,,,,,,
12,0.5,1.0267072780786992,3698,10000,,Yellow,Gray,Biker Vest,Grin Diamond Grill,Bored,Army Hat
13,38.7,1.0118336312529113,4132,10000,,New Punk Blue,Black,Smoking Jacket,Phoneme Oh,Robot,Commie Hat
14,89.0,0.9161231802200018,7420,10000,,,,,,,
16,102.45,0.8332052676411529,9393,10000,,Yellow,Death Bot,Sailor Shirt,Bored,Bored,
17,89.0,1.0235491640670584,3782,10000,,Yellow,Pink,Lumberjack Shirt,Bored Unshaven Cigarette,Bloodshot,Police Motorcycle Helmet
18,129.0,0.8334353721299451,9382,10000,,Army Green,Gray,Tuxedo Tee,Bored,Sleepy,
20,96.0,1.0634224608458744,2771,10000,,New Punk Blue,Black,Sleeveless T,Bored Bubblegum,Scumbag,Army Hat
22,57.88,0.8149029242873232,9625,10000,,,,,,,
25,51.0,0.8669344560864746,8778,10000,,Aquamarine,Gray,Biker Vest,Bored,Bored,Irish Boho
26,0.35,0.8215154205911364,9565,10000,,Yellow,Brown,Service,Bored,Wide Eyed,
27,74.2105,0.915670149962405,7440,10000,,Gray,Black,Vietnam Jacket,Bored,Scumbag,Short Mohawk
28,0.72,0.8660881474973696,8796,10000,,Orange,Brown,,Grin Gold Grill,Bored,Beanie
31,0.1499,0.8707844732863445,8696,10000,Gold Stud,New Punk Blue,Brown,,Grin,Bloodshot,
32,63.0,0.8735565880012535,8632,10000,,Orange,Golden Brown,Leather Punk Jacket,Bored Unshaven Cigarette,Bored,
33,80.0,0.976391961959404,5337,10000,Silver Stud,Gray,Red,,Bored Cigarette,Eyepatch,Beanie
35,150.0,1.1793401196142312,880,10000,Silver Hoop,Blue,Blue,Lab Coat,Rage,Bloodshot,Fez
36,34.9,0.9703912428023748,5563,10000,,Purple,Black,Leather Jacket,Phoneme L,Sleepy,Short Mohawk
37,90.69,0.972038901505798,5499,10000,,,,,,,
40,79.9,0.8939692280517144,8100,10000,,Orange,White,Work Vest,Bored,Bored,Vietnam Era Helmet
43,180.0,0.9481735780267316,6312,10000,,Aquamarine,Golden Brown,,Bored Bubblegum,Bloodshot,Halo
45,1.64,1.008352491158742,4223,10000,,Purple,Golden Brown,Striped Tee,Phoneme  ooo,Blindfold,Halo
46,129.0,1.0254226606430257,3736,10000,,Yellow,Dark Brown,Smoking Jacket,Phoneme Vuh,Hypnotized,Bayc Flipped Brim
48,34.0,1.0722804150085352,2556,10000,Silver Stud,Army Green,Pink,Guayabera,Tongue Out,Eyepatch,
49,0.475,0.9729009641940788,5475,10000,,Yellow,Brown,Bayc T Red,Grin,Sleepy,Faux Hawk
50,34.95,1.1510065557809928,1194,10000,,,,,,,
52,9.123,1.0426513320680717,3254,10000,Diamond Stud,New Punk Blue,Brown,Navy Striped Tee,Bored Unshaven Cigarette,Blindfold,
53,1.25,1.021959868186181,3826,10000,,Orange,Dark Brown,Vietnam Jacket,Discomfort,Sad,Stuntman Helmet
54,56.9,0.8140552218530553,9640,10000,,Army Green,Pink,Lumberjack Shirt,Bored Unshaven,Bored,
55,8.38,0.9740289323796422,5423,10000,,Aquamarine,Black,Navy Striped Tee,Bored Cigarette,Angry,Ww2 Pilot Helm
56,4.9,1.105278925487349,1878,10000,,,,,,,
57,96.0,0.9763838319535624,5339,10000,,Purple,Black,Smoking Jacket,Jovial,Wide Eyed,Army Hat
58,114.5,1.1002990485372788,1978,10000,,,,,,,
59,80.0,0.8647563348864539,8838,10000,,Orange,Pink,Stunt Jacket,Bored Unshaven,Sleepy,
60,80.0,0.9724859013817309,5483,10000,,Yellow,Golden Brown,Bone Necklace,Bored Unshaven,Coins,Party Hat 1
61,2.2,0.8598861841345202,8936,10000,,Purple,Blue,Puffy Vest,Bored,Bloodshot,Beanie
62,1.81,0.8643703167779985,8852,10000,,Aquamarine,Cream,,Grin,Sleepy,Fez
63,9.0,1.0272239835078376,3682,10000,,Aquamarine,Dmt,Tuxedo Tee,Grin,Angry,Short Mohawk
64,5.49,0.9109373181201516,7583,10000,,,,,,,
65,88.0,1.162451244658102,1064,10000,Silver Stud,Army Green,Red,Navy Striped Tee,Grin,X Eyes,Halo
66,165.0,1.031777337029731,3552,10000,,Army Green,Dark Brown,Striped Tee,Rage,Robot,Bandana Blue
67,46.69,1.0653460338415766,2729,10000,Gold Stud,Aquamarine,Blue,Navy Striped Tee,Phoneme Vuh,Zombie,
68,77.99,0.9307959160808696,6932,10000,Silver Stud,Army Green,Brown,Cowboy Shirt,Bored Unshaven,3d,
70,79.99,0.9563261723724756,6019,10000,,Army Green,Dark Brown,Bone Tee,Jovial,Closed,Commie Hat
71,8.88,1.060783452764609,2835,10000,,Yellow,Blue,Tie Dye,Rage,Sleepy,Spinner Hat
72,69.0,0.8393443800463424,9304,10000,,Yellow,Cream,Guayabera,Bored Unshaven,Sleepy,
73,5.1,0.942890700464658,6518,10000,,New Punk Blue,Dark Brown,Prison Jumpsuit,Bored Unshaven,Blue Beams,
74,52.69,1.3029492394410045,125,10000,Silver Hoop,Army Green,Golden Brown,Blue Dress,Phoneme Wah,Scumbag,Bunny Ears
75,72.971,0.933302586755982,6844,10000,,New Punk Blue,Dark Brown,Toga,Bored Unshaven Cigarette,X Eyes,
76,88.5,1.1206661133347584,1624,10000,Diamond Stud,Blue,Robot,Sailor Shirt,Bored Unshaven Cigarette,Sunglasses,
77,1.6,0.961382710092922,5846,10000,,Aquamarine,Gray,Biker Vest,Bored,Blindfold,S&m Hat
78,5.0,0.9734534039563946,5450,10000,,Blue,Brown,Bayc T Black,Bored Unshaven Cigarette,Coins,Bayc Flipped Brim
79,2.8,1.1004071323555908,1976,10000,Silver Hoop,Blue,Dark Brown,Black Holes T,Grin,Heart,Cowboy Hat
81,69.0,1.1471101735537623,1248,10000,,,,,,,
82,72.64,1.0544667330130992,2966,10000,,Orange,Brown,Space Suit,Small Grin,Eyepatch,Vietnam Era Helmet
83,22.0,0.9431184407138098,6508,10000,,,,,,,
84,79.9,1.0147724445395347,4041,10000,,Yellow,White,Service,Phoneme Oh,Angry,
85,101.0,0.9001563785314166,7927,10000,Silver Stud,Blue,Brown,Work Vest,Dumbfounded,Bored,
86,4.8,0.9515787347885863,6201,10000,,Blue,Zombie,Guayabera,Bored Cigarette,Crazy,
87,111.25,1.0469956340420872,3142,10000,,Purple,Gray,,Phoneme Wah,Robot,Prussian Helmet
89,75.3684,0.8708437160344176,8694,10000,,Army Green,Black,Hawaiian,Bored Unshaven,Eyepatch,Beanie
91,27.4,0.9988943905502148,4537,10000,,,,,,,
92,44.985,0.9083498106197192,7657,10000,,Yellow,Brown,Tanktop,Dumbfounded,Bloodshot,Cowboy Hat
94,0.45,0.9333948662251458,6839,10000,,Purple,Cream,Bayc T Red,Bored Unshaven Cigarette,Closed,
95,129.9,1.179620125366915,875,10000,Gold Stud,Purple,Zombie,Tanktop,Bored,Wide Eyed,Prussian Helmet
96,55.0,1.2236764057359368,479,10000,Cross,Orange,Golden Brown,Lumberjack Shirt,Dumbfounded,Sad,Short Mohawk
97,75.0,1.061528452871724,2815,10000,,Gray,Red,Vietnam Jacket,Bored Cigarette,Scumbag,Stuntman Helmet
98,38.0,1.0988742887662055,2006,10000,Silver Hoop,Army Green,Dark Brown,Prom Dress,Bored Cigar,Blindfold,
99,0.33,1.1288264144316664,1522,10000,Diamond Stud,Purple,Brown,Leather Punk Jacket,Bored,Heart,Halo
100,26.69,1.042335594015689,3264,10000,,Purple,Cheetah,Tie Dye,Bored Cigarette,Holographic,Beanie
102,100.0,0.9597108511875824,5908,10000,Silver Stud,Orange,Dark Brown,Bayc T Black,Bored Cigarette,Eyepatch,
104,3.0,1.1786363783244158,887,10000,Silver Hoop,New Punk Blue,Dark Brown,Cowboy Shirt,Dumbfounded,Bloodshot,Bandana Blue
105,76.1,0.9842298875753136,5048,10000,Silver Stud,Yellow,Cream,,Grin,Sunglasses,Short Mohawk
107,17.9,0.9693347131367422,5588,10000,Silver Hoop,Aquamarine,Pink,Tweed Suit,Bored Unshaven,Coins,
108,0.66,1.0899746646948834,2195,10000,Gold Hoop,Gray,Blue,Black Holes T,Bored,Bloodshot,Cowboy Hat
109,0.37,1.043376806528465,3239,10000,,Blue,Golden Brown,Tuxedo Tee,Bored Pipe,Angry,Cowboy Hat
110,0.25,1.1156542075335898,1706,10000,,Orange,Noise,Navy Striped Tee,Bored Cigarette,Hypnotized,Ww2 Pilot Helm
111,39.9,0.8223560759900903,9557,10000,,,,,,,
112,26.0,1.0556901426649308,2943,10000,,Orange,Golden Brown,Space Suit,Bored Cigarette,Holographic,Halo
113,20.0,1.0066576315165148,4290,10000,,Gray,Dark Brown,Smoking Jacket,Bored Unshaven Cigarette,Bloodshot,Laurel Wreath
115,80.0,1.075693934814999,2487,10000,Cross,Aquamarine,Cream,Blue Dress,Bored Unshaven,Angry,
117,2.75,1.0725038177146826,2550,10000,,Army Green,Dark Brown,Rainbow Suspenders,Bored Unshaven Kazoo,Bored,Ww2 Pilot Helm
118,0.4,1.1810830719871304,859,10000,,,,,,,
119,33.95,0.904116965790594,7805,10000,,Purple,Red,,Bored,X Eyes,Vietnam Era Helmet
120,62.6262,1.1061579848245993,1864,10000,Silver Stud,Gray,Cream,Black Holes T,Phoneme Vuh,Bored,Fez
121,1.89,1.2409919445115667,354,10000,Silver Hoop,Blue,Red,Sailor Shirt,Phoneme  ooo,Crazy,Police Motorcycle Helmet
122,59.5,0.9664618513418406,5674,10000,Gold Hoop,Gray,Gray,Lumberjack Shirt,Bored,3d,
