token_id,Background pattern,Headdress,background,cat,eyes,ornaments,parts
0,yellow,none,purple,Shockingorange,yellow,necklet,none
10,pink,formal hat,red,ShockingSiamesekitten,Cross eyed,none,love
1000,purple,none,grey,Cow cat2,red,small bell,fish
1002,blue,Baby Hat,blue,Chinese garden cat,blue,none,none
1004,green,none,green,ShockingCow cat,Cross eyed,small bell,none
1006,white,Baby Hat,orange,ShockingRagdoll,blue,bow,none
1008,red,none,orange,Cow cat3,deep green,none,question mark
101,black,none,orange,Siamese kitten2,orange,Saliva towel,angry
1011,purple,crown,blue,Shockingorange,green,necklet,none
1013,yellow,none,blue sky,Chinese garden cat,green,small bell,none
1015,pink,none,orange,USA Shorthair2,red,none,none
1017,green,none,purple,british shorthair 2,blue,Saliva towel,sweat
1019,blue,none,deep purple,british shorthair 2,Cross eyed,none,love
1020,blue,hat,orange,Siamese kitten2,red,none,none
1022,green,none,grey,british shorthair 1,orange,none,angry
1024,yellow,angle,orange,Siamese kitten2,white,Gold chain,love
1026,red,none,grey,Siamese kitten3,white,none,none
1028,blue,none,deep purple,Cow cat2,white,bow,fish
103,purple,crown,blue sky,USA Shorthair1,blue,none,star
1031,blue,headset,black,Chinese garden cat,red,none,sweat
1033,yellow,frog,deep purple,british shorthair 2,orange,none,none
1035,white,Baby Hat,blue sky,Siamese kitten3,white,headset,none
1037,white,none,grey,USA Shorthair1,green,none,none
1039,blue,none,blue,Siamese kitten1,blue,none,none
1040,yellow,none,blue,Three colored cat,orange,none,none
