token_id,Background,Clothing,Eyebrows,Eyelids,Eyes,Eyewear,Fur,Gear,Hair,Head Gear,Mask,Mouth
1,Forgotten Purple,N/A,Happy,All,Dizzy,N/A,Pink,Omni Sword,N/A,N/A,N/A,Sad
100,Campanelle Noodle,N/A,N/A,N/A,Green Gummy,N/A,Green Gummy,Ice Sword,White,N/A,N/A,Cute
1001,Salmon Nigiri,Undershirt,Happy,N/A,Hollow,N/A,Black,Chainsaw Sword,N/A,N/A,N/A,Angry Roar
1005,Livid,N/A,Sad,Bottom Left,Big,N/A,Peach,N/A,N/A,N/A,N/A,Rainbow Grill
1007,Campanelle Noodle,N/A,Sad,Bottom,Hollow,N/A,Light Brown,Chainsaw Sword,N/A,N/A,N/A,Smoking
1009,Voodoo Grey,N/A,N/A,N/A,Dizzy,Nerd,Dark Brown,Ice Sword,Bangs,N/A,N/A,O
1010,Angry Pasta,Handkerchief,Angry,Bottom,Retro,N/A,Checkered,N/A,N/A,N/A,N/A,Happy Tongue
1012,Bundaberg Sand,Smoking Robe,Angry,Top Right,Red Gummy,N/A,Red Gummy,Ice Sword,N/A,N/A,N/A,Sad
1014,Holiday Camp,Tie,N/A,N/A,N/A,N/A,Light Brown,Plasmachete,N/A,N/A,Freddy,N/A
1016,Forgotten Purple,Handkerchief,Happy,All,Green Gummy,N/A,Green Gummy,Plasmachete,N/A,N/A,N/A,Cute
1018,French Truffle,Handkerchief,Sad,Bottom,Dizzy,N/A,Light Brown,N/A,N/A,Back Cap,N/A,Sad
102,Bundaberg Sand,Undershirt,Angry,Bottom,Yellow Cat,N/A,Dark Brown,Chainsaw Sword,N/A,N/A,N/A,Cute
1021,Shimmer,N/A,N/A,N/A,N/A,N/A,White,Robot Tentacles,N/A,N/A,Kitsune,N/A
1023,Angry Pasta,N/A,N/A,N/A,Retro,Orange,Peach,Ice Sword,Short White,N/A,N/A,Angry Tongue
1025,Voodoo Grey,Dress Shirt,Sad,N/A,Blank,Lennon,Red,N/A,N/A,N/A,N/A,O
1027,Shimmer,N/A,Sad,Top Left,Retro,N/A,Black,N/A,N/A,N/A,N/A,O
1029,French Truffle,N/A,Sad,Bottom Left,Big,N/A,Light Brown,Stone Makarasa,Mullet,N/A,N/A,Angry Teeth
1030,Holiday Camp,Handkerchief,N/A,N/A,Regular,Yellow,Purple,N/A,N/A,N/A,N/A,O
1032,Bundaberg Sand,Undershirt,Angry,Bottom Right,Stitches,N/A,Light Brown,Omni Sword,N/A,N/A,N/A,O
1036,French Truffle,N/A,N/A,N/A,N/A,N/A,White,Omni Tentacles,N/A,N/A,Tiki,N/A
104,French Truffle,N/A,N/A,N/A,Hearts,N/A,Dark Brown,Cursed Sword,White,N/A,N/A,Angry Roar
1041,Meadowland,Handkerchief,Angry,N/A,Hollow,Lennon,Cheetah,N/A,N/A,Black Baseball,N/A,O
