token_id,Beard,Beard Color,Earring,Glasses,Glasses Color,Hair Color,Hair Style,Hat,Hat Color,Jersey Number,Necklace,Overshirt,Overshirt Color,Pants,Pants Color,Shirt,Shirt Color,Shoes,Shoes Color,Tattoo Motif,Type
1,N/A,N/A,N/A,N/A,N/A,N/A,Bald,Backwards Cap,Gray,N/A,N/A,Athletic Jacket,Red,Cargo Pants,Camo,Skull Tee,N/A,Workboots,N/A,N/A,Human
100,Stubble,Dark,N/A,Round Glasses,White,Dark,Spiky,N/A,N/A,N/A,N/A,N/A,N/A,Athletic Shorts,Gray,Hoodie,Gray,Classic,Gray,N/A,Human
10000,N/A,N/A,N/A,N/A,N/A,Dark,Big Bangs,N/A,N/A,N/A,N/A,Jean Jacket,N/A,Leggings,Dark Gray,Tee,Black,High Boots,N/A,N/A,Human
10002,N/A,N/A,N/A,Aviators,N/A,Brown,Wild,N/A,N/A,0,N/A,N/A,N/A,Short Leggings,Dark Gray,Basketball Jersey,Black,Sandals,Gray,N/A,Human
10004,N/A,N/A,N/A,N/A,N/A,Blue,Big Bangs,N/A,N/A,N/A,Gold Necklace,N/A,N/A,Skirt,Denim,Heart Hoodie,Gray,Sandals,Gray,N/A,Human
10006,N/A,N/A,N/A,N/A,N/A,N/A,Bald,N/A,N/A,N/A,N/A,Collar Shirt,Gray,Cargo Pants,Denim,Invader Tee,Black,Sneakers,White,N/A,Pig
10008,N/A,N/A,N/A,Elvis,N/A,Dark,Fade,N/A,N/A,N/A,N/A,N/A,N/A,Regular Pants,Dark Gray,Skull Tee,N/A,Canvas,White,N/A,Human
1001,N/A,N/A,Gold Earrings,Sunglasses,N/A,Blonde,Ponytail,N/A,N/A,8,N/A,N/A,N/A,Trackpants,Dark Gray,Basketball Jersey,Red,Skater,Green,"ZGZTTZGZ,ZGZTTZGZ",Human
10011,N/A,N/A,N/A,Elvis,N/A,Dark,Spiky,N/A,N/A,8,N/A,N/A,N/A,Regular Pants,Blue Camo,Jersey,Black,Slides,N/A,N/A,Human
10013,N/A,N/A,N/A,N/A,N/A,Dark,Long,N/A,N/A,N/A,N/A,Collar Shirt,Red,Short Leggings,Camo,Diagonal Tee,Black,Sandals,White,N/A,Human
10015,N/A,N/A,N/A,N/A,N/A,N/A,Bald,Headphones,Black,N/A,Gold Chain,N/A,N/A,Cargo Pants,Dark Gray,Skull Tee,N/A,Neon Sneakers,N/A,N/A,Robot
10017,N/A,N/A,N/A,Elvis,N/A,Brown,Messy,N/A,N/A,N/A,N/A,N/A,N/A,Cargo Pants,Camo,Windbreaker,Black,Sneakers,Yellow,N/A,Human
10019,N/A,N/A,N/A,Sunglasses,N/A,Dark,Very Long,Cap,Green,N/A,N/A,N/A,N/A,Short Leggings,Blue Camo,Long-sleeved,Red,Skater,Green,N/A,Human
10020,N/A,N/A,N/A,Frameless,N/A,Dark,Simple,N/A,N/A,N/A,N/A,N/A,N/A,Cargo Pants,Camo,Windbreaker,White,Sneakers,Gray,N/A,Human
10022,N/A,N/A,N/A,N/A,N/A,Dark,Spiky,N/A,N/A,N/A,N/A,N/A,N/A,Athletic Shorts,Red Plaid,Hoodie,Red Plaid,Basketball,Gray,N/A,Human
10024,N/A,N/A,N/A,Nerdy,White,Blonde,Pulled Back,N/A,N/A,N/A,N/A,N/A,N/A,Leggings,Camo,Tee,Magenta,Skater,Magenta,N/A,Human
10026,N/A,N/A,N/A,N/A,N/A,Dark,Buzzcut,N/A,N/A,N/A,Gold Chain,N/A,N/A,Regular Pants,Denim,Skull Tee,N/A,Classic,Gray,N/A,Human
10028,N/A,N/A,N/A,Specs,Charcoal,Dark,Fade,N/A,N/A,N/A,Gold Chain,Collar Shirt,Red Plaid,Cargo Pants,Dark Gray,Bare Chest,N/A,Classic,Red,N/A,Human
1003,N/A,N/A,N/A,N/A,N/A,Brown,Buzzcut,N/A,N/A,N/A,Gold Chain,N/A,N/A,Ripped Jeans,N/A,Hoodie,Green,Canvas,White,N/A,Human
10031,N/A,N/A,N/A,N/A,N/A,Dark,Mohawk,N/A,N/A,N/A,Gold Chain,N/A,N/A,Regular Pants,Denim,Windbreaker,Black,Classic,Gray,N/A,Human
10033,Mustache,Dark,Gold Earring,N/A,N/A,N/A,Bald,Cap,Yellow,N/A,N/A,Leather Jacket,N/A,Regular Pants,Denim,Invader Tee,Yellow,Neon Sneakers,N/A,N/A,Human
10035,N/A,N/A,N/A,Nerdy,White,Dark,Curly,N/A,N/A,N/A,N/A,Trenchcoat,N/A,Leggings,Dark Gray,Ghost Tee,N/A,LL Tall,N/A,N/A,Human
10037,N/A,N/A,N/A,N/A,N/A,Dark,Buzzcut,Headphones,Green,N/A,N/A,N/A,N/A,Regular Pants,Blue Camo,Logo Tee,N/A,Workboots,N/A,N/A,Human
10039,N/A,N/A,N/A,N/A,N/A,Dark,Simple,Headphones,Purple,N/A,N/A,N/A,N/A,Cargo Pants,Blue Camo,Windbreaker,Black,Running,Black,N/A,Human
10040,N/A,N/A,N/A,N/A,N/A,Dark,Ponytail,N/A,N/A,N/A,N/A,N/A,N/A,Skirt,Camo,Meepet Tee,Purple,Sandals,Gray,N/A,Human
