token_id,background,clothes,eyes,head,mouth,neck,skin,specialty,version,y00t
1,Teal,Hawaiian Shirt,None,DeGod Pro Trucker,Party Blower,None,Pink Granite,None,DeadGod,Claimed
100,Olive Green,Peasant Blouse,None,God Dome,None,None,Pastel,Earring,DeadGod,Claimed
1001,Teal,Hawaiian Shirt,None,Prince Hair,None,None,Turquoise,None,DeadGod,Claimed
1004,Brown,God Jersey,Rugrat Frames,Gold Leaf Laurel,None,Christmas Lights Chain,Navi,Black Eye,DeadGod,Claimed
1006,Teal,God Jersey,All Seeing Eyes,Prince Hair,Vape God,None,Navi,None,DeadGod,Claimed
1008,Blue,Bleached Tee,Rose Tinted Shades,Ushanka,None,None,Turquoise,None,DeadGod,Claimed
1010,Blue,Godchella Hoodie,Glowing Eyes,Bleached Curls,None,Diamond Necklace,Pink Granite,Quarterback,DeadGod,Claimed
1012,Deep Ocean Blue,Godly Tunic,None,Headband,None,None,Turquoise,Mythic Wings,DeadGod,Claimed
1014,Purple,Caesar Tunic,DeGucci Goggles,Godfro,None,None,Marble,None,DeadGod,Claimed
1017,Teal,Tourist Tee,Alien Spectacles,Prince Hair,Goatee,None,Ape,None,DeadGod,Claimed
1019,Teal,Godchella Hoodie,None,Skull Mask,None,None,Navi,None,DeadGod,Claimed
1020,Blue,Godchella Hoodie,Rose Tinted Shades,Godlielocks,None,Louis Scarf,Pink Granite,None,DeadGod,Claimed
1022,Olive Green,Overalls,None,Pharaohs Headdress,None,None,Blue Sky,None,DeadGod,Claimed
1024,Red,Godchella Hoodie,Snake Eyes,Prince Hair,None,None,Lavender Stripe,Forehead Diamond,DeadGod,Claimed
1027,Purple,FTX Jersey,Rainbow Laser Eyes,Pharaohs Headdress,None,None,Turquoise,Angel Wings,DeadGod,Claimed
1029,Teal,Peasant Blouse,None,Mad Scientist,None,None,Solar Spiral,Quarterback,DeadGod,Claimed
1030,Blue,Steve Jobs Turtleneck,Neon Shades,Prince Hair,None,Cannibal Necklace,Turquoise,Archer,DeadGod,Claimed
1032,Blue,Gym Tee,Eye Patch,Curly,None,None,Pink Granite,None,DeadGod,Claimed
1035,Purple,DeGod Cutoff,Swirly Glasses,Bed Head,None,Pimp Chain,Marble,None,DeadGod,Claimed
1037,Brown,World Champion Robe,None,Bleached,None,None,X-Ray,None,DeadGod,Claimed
1039,Brown,Tracksuit,None,Godfro,None,Gold Chain,Lavender Stripe,None,DeadGod,Claimed
1040,Blue,Googod Tee,None,Fade,None,None,Pink Granite,None,DeadGod,Claimed
1042,Brown,World Champion Robe,Steampunk Goggles,Prince Hair,None,None,Marble,Earring,DeadGod,Claimed
1044,Teal,None,DeGucci Goggles,Fade,Goatee,None,Blue Sky,None,DeadGod,Claimed
1046,Teal,DeGod Cutoff,Playboy Bunny Glasses,Mythic Halo,None,Diamond Necklace,Navi,Archer,DeadGod,Claimed
