token_id,Back,Background,Eyes,Feet,Fur,Head,Mouth,Neck
0,N/A,Outhouse,Happy,Old Laces,Tan,N/A,Smiling,BAYC Collar
10,N/A,SS Monke Biz,Closed,Flask,Brown,N/A,Stache,Whiskey Barrel
1000,N/A,SS Monke Biz,Closed,N/A,Tan,BAYC Flipped Brim Hat,Bloody Fangs,Pinstripe Bandana
1003,Ninja Kunai,SS Monke Biz,Happy,Combat Boots,Black,N/A,Smiling,Flamingo Bandana
1005,N/A,Swamp,Anime,N/A,Tan,N/A,Rose,N/A
1007,N/A,Club Exterior,Confused,Flippers,Tan,Santa Hat,Slippers,N/A
1009,Beer Kegs,Swamp,Goofy,N/A,Black,Purple Headband,Smiling,N/A
1012,N/A,Outhouse,Closed,Combat Boots,Pink,N/A,Smiling,N/A
1014,Mega Rocket Launcher,Bar,Cyberware,N/A,Black,Bird,Bored,Plaid Bowtie
1016,Camo Pack,SS Monke Biz,Hero Mask,Space Boots,Black,Cowboy Hat,Growl,N/A
1019,N/A,Outhouse,Angry,N/A,Brown,N/A,Bored,N/A
1020,Doggie Pack,Club Exterior,X Eyes,N/A,Tan,N/A,Bloody Fangs,Japanese Bandana
1022,N/A,Outhouse,Hero Mask,N/A,Zombie,King's Crown,Cigar,N/A
1024,Service Vest,SS Monke Biz,Cyberpunk Visor,High Tops,Tan,Sea Captain's Hat,Drooling,Christmas Wreath
1026,N/A,Outhouse,Closed,Rain Boots,Brown,Bow,Bone,N/A
1028,N/A,SS Monke Biz,Hypnotized,N/A,Tan,Tie,Hot Dog,BAYC Collar
103,Blue Pack,Club Exterior,Closed,Rollerblades,Brown,N/A,Fish,Pink Collar
1036,N/A,Club Exterior,Confused,Boots,Tan,Bowler,Bored,Pinstripe Bandana
1038,N/A,Outhouse,Closed,N/A,Tan,Fez,Loogie,Life Preserver
104,Blue Pack,Bar,Happy,N/A,Tan,N/A,Smiling,N/A
1041,Service Vest,SS Monke Biz,Sad,N/A,Cheetah,Cowboy Hat,Confused,N/A
1043,N/A,Club Exterior,Goofy,N/A,Tan,Hermit Crab,Smiling,BAYC Collar
1045,N/A,SS Monke Biz,Confused,Fresh Laces,Zombie,Rat,Cyberjaw,Spiked Collar
1047,Beer Kegs,Outhouse,Closed,Cast,Tan,N/A,Rose,Ribbon
1049,Beer Saddle,Swamp,Robot,N/A,Black,N/A,Smiling,Black BAYC Bandana
