token_id,Background,Bones,Clothes,Eyes,Hat,Mouth,Super Power
1,Graveyard,Reaper,Black Robe,N/A,Black Hood,N/A,Scythe
100,Yellow,Cheetah,Black Suit,N/A,N/A,N/A,N/A
10000,Banshee Cockpit,Halo,Mecha Suit,Visor,Masterchief Helmet,N/A,Alien Exterminator
1002,Aquamarine,Cheetah,N/A,Blindfold,N/A,Rainbow Grill,N/A
1004,Gray,Dmt,N/A,Black Sunglasses,Safari Cap,N/A,N/A
1006,Yellow,Pink,N/A,N/A,N/A,Kazoo,N/A
1008,Indigo,Emerald,Sailor Shirt,Red Shades,Sailors Cap,Bubblegum,N/A
101,Aquamarine,Zombie,N/A,Blindfold,Beanie,Bubblegum,N/A
1011,Purple,Cheetah,Sailor Shirt,Red Shades,N/A,N/A,N/A
1013,Blue,Death Bot,Striped Tee,Red Shades,Safari Cap,N/A,N/A
1015,Indigo,Blue,N/A,N/A,Soviet Hat,Pizza,N/A
1017,Army Green,Pink,N/A,Black Sunglasses,Horns,Pizza,N/A
1019,Purple,Blue,Bone Necklace,Red Shades,Beanie,Cigar,N/A
1020,Gray,Blue,N/A,Heart Glasses,Cowboy Hat,Party Horn,N/A
1022,Army Green,Noise,Tank Top,N/A,N/A,Pipe,Blue Beam
1024,Blue,Cheetah,Caveman Pelt,Heart Glasses,Wabc Hat Black,N/A,N/A
1026,Aquamarine,White,Space Suit,Black Sunglasses,N/A,N/A,N/A
1028,Gray,Blue,Hawaiian Shirt,Eyepatch,Horns,Pipe,N/A
103,Yellow,Blue,Sailor Shirt,N/A,N/A,Party Horn,N/A
1031,Yellow,White,Toga,Heart Glasses,N/A,N/A,N/A
1033,Gray,Emerald,N/A,3D Glasses,Fez,N/A,N/A
1035,Blue,Emerald,Bone Necklace,Blindfold,Wabc Red Hat,Bubblegum,N/A
1037,Gray,White,Cowboy Shirt,N/A,Fisherman Hat,N/A,N/A
1039,Purple,Blue,Hip Hop,Eyepatch,Fez,Bubblegum,N/A
1040,Purple,Dmt,N/A,N/A,Short Mohawk,Bubblegum,N/A
