token_id,Background,Earrings,Eyebrow,Eyes,Face,Friend,Glasses,Hair,Hat,Mouth,Overlays,Race,Rank,Shirt,Swag Score,Weapon
1,Apocalypse,N/A,Normal,Pink,N/A,Hunter,Half White,Ulenka Golden Brown,N/A,Flipped,The Love Is Never Ending,Pink,A,Firefighter,137,N/A
100,Lightning Field,N/A,Bleached,Blue,N/A,Marcus,Leili,Widow Blonde,N/A,Smug,N/A,White,B,Toyota Corolla 2000,87,BABY-G Watch
10000,The Oxbow,Remilia Cat,Normal,Blue,Snake Bites,Amogus,Tiny Black,Lukas Red,Uszatka,Triangle,N/A,Black,SS,Rat Tank,214,AK47
1002,Nobu Miami,N/A,Normal,Brown,Snake Bites,Anne,N/A,Aquarium Blonde,Black Nasty,Cigarette,N/A,Tan,B,Snoopy,90,N/A
1004,Looney Tunes Canyon,Balenciaga Icon,Notched,Blue,N/A,Amogus,Half White,Aquarium Deep Red,Sigma,Smug,N/A,White,B,Punisher,95,N/A
1006,Fortnite Tomato Town,N/A,Sad,Brown,N/A,Ralph,Tiny White,Aquarium Moss,Mickey Hat,Normal,N/A,Pink,B,Gucci Souvenir,98,N/A
1008,Rust,N/A,Normal,Green,N/A,Brat,Vintage,Lemaire Blue,N/A,Toothpick,N/A,Pink,B,Biden 2020,85,Pistol
101,Stocks,N/A,Notched,Brown,Scar,Dino,Clout Goggles,Lukas Blonde,FBI Cap,Charlie Fang,N/A,White,A,Stone Island Puffer,123,N/A
1011,Looney Tunes Canyon,Balenciaga Icon,Notched,Light Blue,Chinese Tattoo,Amogus,Balenciaga Mono Rectangle,Aquarium Brown,N/A,Cigar,N/A,White,C,Minecraft Polo Official,71,N/A
1013,Rothko Chapel,Feather,Notched,Light Blue,Kitty,Tails,N/A,Aquarium Caramel,Burger King Crown,Triangle,N/A,White,B,Lab Coat,83,N/A
1015,Summer Home,N/A,Normal,Pink,Combo,Azu,N/A,Madoka Bright Pastel,Funny and Cute,Pipe,N/A,Tan,B,Info Wars,92,N/A
1017,The Grand Canyon,N/A,Normal,Cartoon Meth,N/A,Jennie,Balenciaga Mono Rectangle,Widow Purple,N/A,Dummy,N/A,Tan,C,Traded Sister,60,N/A
1019,Atlantis Light Codes,N/A,Notched,Hazel,N/A,Mikitty,N/A,Ulenka Blue,N/A,Charlie Fang,N/A,Tan,C,Paris Hilton,68,N/A
1020,Quake ztndm3,N/A,Normal,Light Blue,Blush,Metoyou,N/A,Widow Orange,N/A,Triangle,N/A,Black,C,Zersetzung,65,N/A
1022,Venturi Storefront,N/A,Bleached,Tired Light Blue,N/A,Apey,Alien,Lemaire Blonde,N/A,Lollipop,N/A,White,B,Ford,84,N/A
1024,Padded Cell,N/A,Sad,Brown,N/A,Jennie,N/A,Aquarium Pink,Don't Tread Durag,Smug,N/A,Black,S,Its Okay To Be Based,149,N/A
1026,Rainforest Cafe,N/A,Normal,Cartoon Blue,N/A,Brat,N/A,Aquarium Pink,N/A,Calvin,N/A,White,Jit,Cowboys,42,N/A
1028,Soccer Field,Chrome Hearts,Notched,Green,Blush,Beatnik,Blue Light Blockers,Madoka White,N/A,Drool,N/A,White,C,Its Okay To Be Based,71,N/A
103,Zorg,N/A,Notched,Green,War,Hobbes,N/A,Aquarium Blonde,N/A,Cigarette,N/A,White,Jit,Bleached,43,N/A
1031,Lain Room,N/A,Normal,Tears,N/A,Ralph,N/A,Widow White,Nothing Can Stop This,Binky,N/A,White,B,Logang,86,N/A
1033,Shenmue,N/A,Normal,Hazel,N/A,Autism,N/A,Lukas Black,N/A,Normal,N/A,White,Jit,ATF Agent,38,N/A
1035,Soccer Field,N/A,Notched,Void,N/A,Mikitty,N/A,Aquarium Brown,Kitty Beanie,Normal,N/A,White,C,Just Do It,76,N/A
1037,Adams Yosemite,Balenciaga Icon,Normal,Green,N/A,Autism,N/A,Madoka White,N/A,Flipped,Puppy,Tan,SS,Spongebob,213,N/A
1039,The Oxbow,N/A,Normal,Meth,N/A,Dino,Shooting Glasses,Madoka Grey,N/A,Toothpick,N/A,White,C,Spongebob,77,N/A
1040,ATF HQ,N/A,Normal,Cartoon Blue,Snake Bites,Mikitty,Safety Glasses,Lemaire Blonde,N/A,Triangle,N/A,Pink,C,Milady Sonora Sprite,68,N/A
