token_id,Cape,Chain,Facial Hair,Glasses,Hair,Hat/Helmet,Headphones,Mouth,Shirt/Jacket,Smoke,Type,Vest/Armor
0,Superhero,N/A,N/A,N/A,White Shag,N/A,N/A,Flat,N/A,N/A,Human Pumpkin Spice,N/A
10,N/A,N/A,N/A,N/A,Frump,N/A,N/A,Flat,Breakdancer Elite,Cig,Human Boba,N/A
1000,N/A,N/A,Solid Beard,N/A,N/A,N/A,Black,N/A,Long Sleeve Olive,N/A,Human Latte,N/A
10001,N/A,N/A,Solid Beard,N/A,Long Black,Bucket Hat White,N/A,N/A,Deep V,N/A,Human Boba,N/A
10003,N/A,N/A,N/A,VR Red,Long Black,Backwards Cap White,N/A,Flat,Puffy Coat Orange,N/A,Human Boba,N/A
10005,N/A,N/A,N/A,N/A,Shaggy,N/A,N/A,Flat,BBall - Nique,N/A,Human Boba,N/A
10007,N/A,N/A,Solid Beard,3D Glasses,Long Black,N/A,N/A,N/A,Tie-dye,N/A,Human Boba,N/A
10009,Royal Red,N/A,N/A,N/A,N/A,Space Helmet,N/A,Flat,N/A,N/A,Human Latte,Knight Armor
10010,N/A,N/A,Epic Beard,3D Glasses,N/A,N/A,N/A,N/A,Varsity Purple,N/A,Human Latte,N/A
10012,N/A,N/A,N/A,3D Glasses,N/A,Backwards Cap Black,N/A,Flat,Dojo Top,N/A,Human Pumpkin Spice,N/A
10014,N/A,N/A,N/A,3D Glasses,N/A,Baseball Cap Navy,N/A,Flat,T-shirt Vneck,N/A,Human Latte,N/A
10016,N/A,N/A,N/A,N/A,N/A,Backwards Cap Red,N/A,N/A,Breakdancer Blue,N/A,Crocodile,N/A
10018,N/A,N/A,N/A,N/A,N/A,N/A,Black,Flat,Puffy Coat Green,N/A,Human Latte,N/A
1002,N/A,N/A,N/A,VR Red,N/A,Backwards Cap Purple,N/A,Flat,Breakdancer Elite,N/A,Human Latte,N/A
10021,N/A,N/A,N/A,3D Glasses,Long Ginger,N/A,N/A,Flat,French Navy Sweater,N/A,Human Invisible,N/A
10023,N/A,N/A,Epic Beard,N/A,N/A,N/A,N/A,Gold,Varsity Purple,N/A,Human Pumpkin Spice,N/A
10025,N/A,N/A,Epic Beard,N/A,Long Black,Backwards Cap Blue,N/A,N/A,Puffy Coat Blue,N/A,Human Boba,N/A
10027,N/A,N/A,N/A,N/A,N/A,Backwards Cap Red,N/A,N/A,Dress Shirt White,Cig,Bot,N/A
10029,N/A,N/A,N/A,N/A,Long Black,Backwards Cap Red,N/A,Flat,Dress Shirt Blue,N/A,Human Latte,N/A
10030,N/A,N/A,Epic Beard,N/A,N/A,Backwards Cap Red,N/A,Gold,Breakdancer Blue,N/A,Human Pumpkin Spice,N/A
10032,N/A,N/A,N/A,N/A,N/A,N/A,Gaming Headset,Flat,Faux Fur,N/A,Human Latte,N/A
10034,N/A,Gold,N/A,N/A,N/A,Space Helmet,N/A,Flat,Long Sleeve White,N/A,Human Invisible,N/A
10036,N/A,N/A,Solid Beard,N/A,N/A,Baseball Cap Black,N/A,Gold,Tennis Sweater,N/A,Human Boba,N/A
10038,N/A,N/A,Epic Beard,N/A,N/A,N/A,N/A,N/A,Varsity Green,N/A,Human Pumpkin Spice,N/A
1004,N/A,N/A,N/A,N/A,Long Blonde,Backwards Cap Black,N/A,Flat,Long Sleeve Olive,N/A,Human Boba,N/A
