token_id,body,face,hats,shirt,tier
0,blue cat skin,happy,knight blue,tshirt yellow,wild_1
10,blue cat skin,three eyes,beret pink,overalls flannel,wild_2
1000,blue cat skin,three eyes,helm bronze,shirt white,wild_2
1002,blue cat skin,happy cute,beanie black,viking navy,wild_2
1004,blue cat skin,three eyes,hat visor yellow,tshirt red,cool_2
1006,blue cat skin,three eyes,crown black,nurse,exotic_1
1008,blue cat skin,sunglasses pixel,piercings,buttondown tan,cool_2
101,blue cat skin,mummy,wreath flowers,ninja black,classy_1
1011,blue cat skin,face face,helm silver,cowboy black,classy_1
1013,blue cat skin,glossy,headband blue,sweater black,cool_2
1015,blue cat skin,sunglasses cowboy,hat visor yellow,buttondown green,cool_1
1017,blue cat skin,beard tan,beanie red,buttondown black flannel,cool_1
1019,blue cat skin,glasses,afro black,epaulette black,wild_2
1020,blue cat skin,sunglasses heart,wreath,pirate red,wild_2
1022,blue cat skin,shocked,arrowhead,shirt yellow,cool_1
1024,blue cat skin,glasses funny,candle,lederhosen,wild_2
1026,blue cat skin,grin,beret red,bandana green,cool_1
1028,blue cat skin,glossy,tvhead purple,costume dragon,exotic_1
103,blue cat skin,stunned,beret green,bandana purple,cool_1
1031,blue cat skin,wink,beret green,robe red,cool_1
1033,blue cat skin,beard tan,unicorn horn,astro orange,classy_1
1035,blue cat skin,rich,beret green,buttondown green,cool_2
1037,blue cat skin,ninja blue,afro black,labcoat,wild_1
1039,blue cat skin,glossy,flower red,overalls flannel,cool_2
1040,blue cat skin,owo,headband blue,shirt white,cool_1
