token_id,background,body,extra,face,head,skin
1,The Roman General,The Roman General,The Roman General,The Roman General,The Roman General,The Roman General
100,Cold Purple Gradient,Red Bandana,None,Tired Face,Red Durag,Default
10000,Blue Gradient,White Vest,None,Rounded Eyes,Antlers,Cream
1002,Cold Purple Gradient,Purple Bomber,None,Angry Face,Red Durag,Cream
1004,Yellow Gradient,Orange Tshirt,None,Eye Patch,Arrow Heads,Mint
1006,Yellow Gradient,White Vest,None,Dizzy Face,Arrow Heads,Gold
1008,Poorple,Natty,None,Happy Face,Red Durag,Default
101,Watermelon!,Dungarees,None,Tired Face,Green Beanie,Light Grey
1011,Cold Purple Gradient,Dirty Vest,None,Shocked Face,Black Durag,Default
1013,Sunset,Pink Scarf,None,Dizzy Face,Black Bucket Hat,Baby Blue
1015,Sunset,Blue Flower Chain,None,Normal Face,Black Cap,Pink
1017,Cold Purple Gradient,Yellow Hoodie,None,Angry Face,Tophat,Default
1019,Cold Purple Gradient,Blue Bomber,None,Big Round Eyes,Ushanka,Default
1020,Eerie,Orange Tshirt,None,Tired Face,Red Beanie,Mint
1022,Cold Purple Gradient,Yellow Hoodie,None,Fangs,Blue Durag,Default
1024,Cold Purple Gradient,White Vest,None,Happy Face,Black Bucket Hat,Default
1026,Cold Purple Gradient,Red Tshirt,None,Normal Face,Witch Hat,Cream
1028,Orange,Red Bandana,None,Happy Face,Devil Horns,Cream
103,Poorple,Green Tshirt,None,Eye Patch,Tophat,Default
1031,Sunset,Dungarees,None,Big Round Eyes,Black Beanie,Light Grey
1033,Sunrise,Basketball Vest,None,Tired Face,Devil Horns,Default
1035,Pink Gradient,Trackie,None,Normal Face,Head Band,Cream
1037,Sunset,Pink Scarf,None,Big Round Eyes,Black Bucket Hat,Pink
1039,Watermelon!,Red Bow Tie,None,Tired Face,Bear Ears,Default
1040,Purple Gradient,Black Bow Tie,None,Rounded Eyes,Sardonic,Mint
