token_id,Accessories,Back,Clothing,DNA,Eye Color,Eyewear,Facial Feature,Hair,Jewelry,Mouth,Type
1,N/A,N/A,JELLYFISH BLW UP JCKT,Human,BLU,N/A,N/A,N/A,GLD Iced Cuban,N/A,MURAKAMI DRIP
100,N/A,N/A,V2 WHT SKL GRL,Human,BLU-PURP,Cyber Bindi,N/A,TEAL Spiked,KAWAII CHRM,N/A,N/A
10000,N/A,N/A,CLNX Tee,Angel,N/A,3RD Eye,N/A,ZK Bucket,Hi-TECH CBLE,N/A,N/A
10002,N/A,N/A,BLCK Tee,Robot,N/A,N/A,N/A,BLU Shape Up,Hi-TECH CBLE,N/A,N/A
10004,N/A,BLCK UNDRWRLD WINGZ,BLCK Jellyfish Tee,Human,SPINNING,N/A,N/A,PURP Shape Up,S-PDLCK,SMILEY RNBW,MURAKAMI DRIP
10006,N/A,N/A,RD BBL Vest,Demon,N/A,Cyber Bindi,N/A,GRN Shape Up,N/A,N/A,ICE
10008,N/A,N/A,BLCK BKR JCKT,Robot,N/A,N/A,N/A,BLU Buns,SLVR G-Link,N/A,N/A
1001,N/A,N/A,JS HOODIE,Human,BRWN,VSN Glasses,N/A,PURP Shape Up,RBY Two Piece,N/A,N/A
10011,N/A,N/A,BLU ORNG BNDN Shirt,Robot,N/A,N/A,N/A,BLCK Soundwave,RNBW CBLE,N/A,N/A
10013,N/A,N/A,FLOOR Tee,Demon,N/A,Cyber Bindi,N/A,WHT BWLCUT,MRBLE G-Link,Mustache,ICE
10015,N/A,N/A,BLCK GM Tee,Human,YLLW Breezy,N/A,N/A,GRN BWLCUT,N/A,N/A,MURAKAMI DRIP
10017,N/A,N/A,BRWN Fur Coat,Human,GRN,Eye Patch,N/A,BLCK Bandana TECH Cap,G-PDLCK,N/A,N/A
10019,N/A,Sword,BLU PURP BNDN Shirt,Human,BLU CRYSTL,Eye Patch,369 TAT,GRN DRDZ,DRIP CHRM,N/A,N/A
10020,N/A,N/A,PURP CAMO PFA JCKT,Human,GRN,N/A,N/A,BLU Pigtails,N/A,SMILE,STONED
10022,N/A,GRY UNDRWRLD WINGZ,PNK ORNG Fur Coat,Robot,N/A,N/A,N/A,BRWN Stylish,PURP ZK-BEADZ,SFTY Mask,MURAKAMI DRIP
10024,SLVR STUD,N/A,PNK ORNG Fur Coat,Angel,N/A,N/A,N/A,N/A,GLD CBLE,N/A,Divine
10026,N/A,N/A,WHT Jellyfish Tee,Human,SPINNING,N/A,N/A,WHT Stylish,VVS PANDA,N/A,MURAKAMI DRIP
10028,N/A,N/A,BLU HAWAIIAN Shirt,Human,PNK,N/A,Angry TAT,WHT Stylish,N/A,N/A,N/A
1003,SLVR STUD,N/A,PURP CAMO PFA JCKT,Human,BLU,BTC,META TAT,BLCK BWLCUT,N/A,GLD GRILLZ,N/A
10031,Cross Earring,N/A,V1 WHT SKL GRL,Human,BLCK Surprised,N/A,N/A,BLND Flower Wreath,SPIKED CHKR,N/A,N/A
10033,N/A,N/A,WHT PNK Fur Coat,Robot,N/A,Drip Scouter,N/A,BRWN Unkept,RBY CBLE,Cyber Jaw,N/A
10035,N/A,N/A,SPACE TRIP Tee,Human,CLSD PURP,SPiKED BILLIONAIRE,On-Sight TAT,BLCK Quiff,N/A,SMILE,N/A
10037,N/A,N/A,CLNX Tee,Robot,N/A,N/A,N/A,BRED Visor,S-HIRE G-Link,Jagged RNBW,MURAKAMI DRIP
10039,VVS STUD,N/A,BRWN Fur Coat,Demon,N/A,N/A,N/A,BLND Ponytail,N/A,N/A,N/A
10040,N/A,N/A,BLCK BNDN Shirt,Human,BLU,Drip Scouter,HRUS 333 TAT,BLND Long Split,N/A,N/A,N/A
