token_id,Background,Body,Face,Head,Left Flipper,Right Flipper,Skin
0,Blue,Huddle Lime,Cute,Grizzly Bear Hat,None,None,Mint
10,Blue,Tool Belt,Cute,Hat Black,None,None,Blue
1000,Beige,Hoodie Orange,Normal,Beanie Orange,None,Balloon Sword Purple,Normal
10001,Pink,Flannel Pink,Blushing,Santa Hat,None,Picket Sign,Maroon
10003,Tangerine,Pjs Dots Yellow,Winking,Sailor's Cap,None,Surfboard Blue,Leopard
10005,Tangerine,Shirt Black,Cute,Mohawk Green,None,Bat,Volcanic Tan
10007,Blue,Tube Pink,Ski Goggles,Bow Blue,None,None,Mint
10009,Beige,Shirt Red,Nerd Cute,Sombrero,None,None,Blue
10010,Beige,Scarf Blue,Mad,Earmuffs,None,Picket Sign,Normal
10012,Beige,Shirt Green,Goggles Pink,Bucket Hat Green,None,None,Volcanic Tan
10014,Blue,Shirt Green,Mad,Bucket Hat Red,None,None,Light Gray
10016,Mint,Pjs Dots Blue,Cute,Visor Blue,None,None,Baby Pink
10018,Lavendar,Kimono White,Curious,Durag Leopard,Balloon Green,None,Maroon
1002,Lavendar,Tube Donut,Blushing,Fish Green,None,Balloon Blue,Mint
10021,Blue,Tool Belt,Reading Cross Eyed,Top Hat Gold,Popsicle,None,Normal
10023,Blue,Suit Black,Normal,Visor Blue,None,None,Normal
10025,Tangerine,Bronze Medal,Cute,Bucket Hat Red,None,None,Cream
10027,Yellow,Tube Black,Winking,Beanie Blue,None,Plushie Red,Volcanic Tan
10029,Lavendar,Tube Flamingo,Normal,Top Hat,None,Plushie Pink,Tiger Red
10030,Pink,Suit White,Circle Glasses,Fish Orange,Candy Cane Red,Carrot,Light Gray
10032,Red,Lei Blue,Cute,Flat Cap Green,None,None,Tiger Blue
10034,Red,Hawaiian Shirt Flower,Normal,Durag Purple,None,None,Red
10036,Beige,Hawaiian Shirt Flower,Blushing,Bucket Hat Black,None,None,Tiger
10038,Lavendar,Pjs Dots Yellow,Cute,None,None,None,Normal
1004,Blue,Poncho Blue,Cute,Beanie Tan,Gold Sword,None,Red
