token_id,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
0,M1 Purple,M1 Toga,N/A,M1 Scumbag,M1 Cheetah,N/A,M1 Bored Unshaven
10,M1 Yellow,M1 Bayc T Black,N/A,M1 Blindfold,M1 Pink,N/A,M1 Bored Unshaven
1000,M1 Yellow,M1 Striped Tee,N/A,M1 Crazy,M1 Robot,M1 Beanie,M1 Grin
10002,M1 Orange,M1 Vietnam Jacket,N/A,M1 Blue Beams,M1 Robot,N/A,M1 Grin
10006,M1 Purple,M1 Bone Necklace,N/A,M1 Bored,M1 Cheetah,N/A,M1 Tongue Out
10010,M1 Army Green,M1 Bayc T Red,N/A,M1 X Eyes,M1 Brown,M1 Bayc Flipped Brim,M1 Dumbfounded
10016,M1 Aquamarine,N/A,M1 Gold Stud,M1 Robot,M1 Zombie,M1 Beanie,M1 Bored
1002,M1 Army Green,N/A,N/A,M1 Bored,M1 Red,M1 Spinner Hat,M1 Bored
10021,M2 Aquamarine,M2 Navy Striped Tee,N/A,M2 Eyepatch,M2 Dmt,M2 Bayc Hat Red,M2 Bored
10023,M2 Gray,M2 Smoking Jacket,N/A,M2 Bloodshot,M2 Dark Brown,M2 Laurel Wreath,M2 Bored Unshaven Cigarette
10028,M1 Orange,M1 Tanktop,M1 Diamond Stud,M1 3d,M1 Cheetah,N/A,M1 Small Grin
10030,M1 Gray,M1 Black T,N/A,M1 Zombie,M1 Gray,M1 Girl's Hair Pink,M1 Phoneme L
10033,M2 Purple,M2 Bone Necklace,M2 Silver Hoop,M2 Bored,M2 Dark Brown,M2 Horns,M2 Dumbfounded
10037,M2 Purple,M2 Vietnam Jacket,N/A,M2 Cyborg,M2 Robot,N/A,M2 Bored Cigarette
1004,M1 Gray,M1 Wool Turtleneck,N/A,M1 Cyborg,M1 Tan,M1 Army Hat,M1 Bored
10042,M1 Orange,M1 Black Holes T,N/A,M1 Bored,M1 Black,N/A,M1 Phoneme  Ooo
10046,M1 Aquamarine,N/A,N/A,M1 Bored,M1 Trippy,M1 Beanie,M1 Bored Pipe
10048,M1 Aquamarine,M1 Bayc T Black,N/A,M1 Hypnotized,M1 Black,M1 Fez,M1 Dumbfounded
1005,M1 Blue,N/A,M1 Gold Stud,M1 Robot,M1 Tan,M1 Safari,M1 Tongue Out
10054,M1 Orange,M1 Sleeveless T,N/A,M1 Bored,M1 Gray,M1 Army Hat,M1 Bored
1006,M1 Aquamarine,M1 Pimp Coat,N/A,M1 Bloodshot,M1 Red,M1 Party Hat 1,M1 Bored
10062,M1 Yellow,M1 Black Holes T,M1 Silver Hoop,M1 Eyepatch,M1 Dmt,M1 Party Hat 2,M1 Bored Unshaven
10066,M1 Purple,M1 Vietnam Jacket,N/A,M1 Closed,M1 Red,M1 Girl's Hair Pink,M1 Small Grin
10070,M1 Blue,M1 Navy Striped Tee,N/A,M1 3d,M1 Death Bot,N/A,M1 Jovial
10074,M1 Blue,M1 Striped Tee,M1 Silver Hoop,M1 Bored,M1 Blue,M1 Bowler,M1 Bored
