token_id,background,clothes,eyes,head,mouth,neck,skin,specialty,version,y00t
10,Blue,Godchella Hoodie,None,Babushka,None,None,Marble,Earring,DeadGod,Claimed
1000,Brown,Bloody Beater,DeGucci Goggles,Babushka,None,None,Pink Granite,None,DeadGod,Claimed
1002,Teal,DeDoctor Coat,None,Godlielocks,Porn Stashe,Christmas Lights Chain,Marble,None,DeadGod,Claimed
1005,Red,DeGod Cutoff,None,Headband,None,Friendship Necklace,Blue Sky,None,DeadGod,Claimed
1007,Blue,God Beater,Steampunk Goggles,Winged Helmet,None,None,Poker,None,DeadGod,Claimed
101,Red,Tech God Vest,None,Prince Hair,None,None,Navi,God of War,DeadGod,Claimed
1011,Brown,FTX Jersey,None,Hippie Hair,None,None,Nebula,None,DeadGod,Claimed
1013,Deep Ocean Blue,None,None,Plank,None,None,X-Ray,None,DeadGod,Claimed
1015,Purple,Steve Jobs Turtleneck,None,Plank,None,None,Navi,None,DeadGod,Claimed
1018,Teal,Bleached Tee,None,Bed Head,None,None,Marble,None,DeadGod,Claimed
102,Brown,Steve Jobs Turtleneck,Alien Spectacles,DeGod Pro Trucker,None,None,Marble,Earring,DeadGod,Claimed
1021,Red,Tourist Tee,None,Headband,None,Cannibal Necklace,Turquoise,None,DeadGod,Claimed
1023,Red,DeGod Cutoff,None,Godfro,Porn Stashe,None,Lavender Stripe,Rockstar Tats,DeadGod,Claimed
1026,Purple,Radioactive Tee,Rainbow Laser Eyes,Leaf Laurel,None,Paperclip Necklace,Ice,None,DeadGod,Claimed
1028,Purple,Gym Tee,DeGucci Goggles,Bed Head,None,Louis Scarf,Lavender Stripe,None,DeadGod,Claimed
103,Olive Green,Jean Jacket,Steampunk Goggles,Bleached Curls,Santa Beard,None,Marble,None,DeadGod,Claimed
1031,Blue,FTX Jersey,None,Bed Head,Cigarette,Silver Chain,Marble,Black Eye,DeadGod,Claimed
1034,Red,Bleached Tee,None,DeGod Pro Trucker,None,None,Marble,Quarterback,DeadGod,Claimed
1036,Brown,Jean Jacket,DeMonacle,Gold Leaf Laurel,Party Blower,None,Joker,None,DeadGod,Claimed
1038,Blue,Godly Tunic,Red Wine Glasses,Mickey DeGods Visor,None,None,Lavender Stripe,Earring,DeadGod,Claimed
104,Red,War Armor,None,Bloody Horns,Smoke Ring,None,Marble,Black Eye,DeadGod,Claimed
1041,Deep Ocean Blue,Bloody Beater,Steampunk Goggles,Leaf Laurel,Porn Stashe,Solana Chain,Pink Granite,Angel Wings,DeadGod,Claimed
1043,Blue,Top God Jumper,None,DeGod Pro Trucker,None,None,Zebra,None,DeadGod,Claimed
1045,Brown,War Armor,Steampunk Goggles,Mushroom Head,None,Cannibal Necklace,Marble,Black Eye,DeadGod,Claimed
1047,Olive Green,Steve Jobs Turtleneck,None,Bed Head,None,None,Zebra,None,DeadGod,Claimed
