token_id,Ottocento,Wabi Sabi
374000000,Facial hair: Yes,N/A
374000002,Facial hair: No,N/A
374000004,Facial hair: No,N/A
374000006,Facial hair: Yes,N/A
374000008,Facial hair: No,N/A
374000010,Facial hair: Yes,N/A
374000012,Facial hair: No,N/A
374000014,Facial hair: Yes,N/A
374000016,Facial hair: Yes,N/A
374000018,Facial hair: Yes,N/A
374000020,Facial hair: Yes,N/A
374000022,Facial hair: No,N/A
375000001,N/A,Ink scratch velocity: 9
375000003,N/A,Ink scratch velocity: 8
375000005,N/A,Ink scratch velocity: 9
375000007,N/A,Ink scratch velocity: 4
375000009,N/A,Ink scratch velocity: 6
375000011,N/A,Ink scratch velocity: 4
375000013,N/A,Ink scratch velocity: 3
375000015,N/A,Ink scratch velocity: 7
375000017,N/A,Ink scratch velocity: 3
375000019,N/A,Ink scratch velocity: 4
375000021,N/A,Ink scratch velocity: 4
375000023,N/A,Ink scratch velocity: 3
375000025,N/A,Ink scratch velocity: 6
