token_id,Accessories,Birth-Chain,Body,Clothes,Earrings,Eyewear,Head,Honorary,Jewelry,Mood,Mouth,Tattoo
0,Katana,Genesis,Normal,Flower Robe,N/A,N/A,Green Beanie,N/A,Frog,Laughing,N/A,Dragon
10,Katana,Genesis,Red,Gray Suit,N/A,N/A,Bamboo,N/A,Silver,Grateful,N/A,Koya
1000,N/A,Genesis,Golden,Naked,Loop,Blindfold,Yuan,N/A,Cuban Link,Playful,Brown Beard,Koya
10001,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Abdula,N/A,N/A,N/A,N/A
10003,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Anonvmoux,N/A,N/A,N/A,N/A
10005,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Big Sigma Sensei,N/A,N/A,N/A,N/A
10007,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Bitcoin Panda,N/A,N/A,N/A,N/A
10009,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Charles Read,N/A,N/A,N/A,N/A
10010,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Cold Blood Shill,N/A,N/A,N/A,N/A
10012,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Defi Brian,N/A,N/A,N/A,N/A
10014,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Defi God,N/A,N/A,N/A,N/A
10016,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Dr. Fresch,N/A,N/A,N/A,N/A
10018,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Etherean,N/A,N/A,N/A,N/A
1002,MP5,Genesis,Red,Japan Baseball Jersey,N/A,N/A,Kitsune Mask,N/A,Cuban Link,Dizzy,N/A,Dragon
10021,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Icebergy,N/A,N/A,N/A,N/A
10023,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Kaleo,N/A,N/A,N/A,N/A
10025,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Kernel Trader,N/A,N/A,N/A,N/A
10027,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Korean Jew,N/A,N/A,N/A,N/A
10029,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Moon Overlord,N/A,N/A,N/A,N/A
10030,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,NekoZ,N/A,N/A,N/A,N/A
10032,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Paik Capital,N/A,N/A,N/A,N/A
10034,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Ponzi Trader,N/A,N/A,N/A,N/A
10036,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Rookie,N/A,N/A,N/A,N/A
10038,N/A,Genesis,N/A,N/A,N/A,N/A,N/A,Screen Times,N/A,N/A,N/A,N/A
1004,Spiked Baseball Bat,Genesis,Normal,Naked,N/A,N/A,Star Headband,N/A,N/A,Satisfied,Joint,Red Sun
