token_id,BACKGROUND,BODY,EYES,HEADWEAR,MOUTH,TYPES
1,Khaki,Sand,Glowing Eyes,N/A,Cigar,Bone
100,Blue,Pale,Eyes,Red Cap,Cigarette,Bone
1001,Khaki,Blue,Eyes,Flaming Head,Closed,Bone
1003,Blue,Acid,Bored Eyes,Durag,Closed,Bone
1005,Off White,Sand,Glowing Bored Eyes,N/A,Closed,Bone
1007,Off White,Zombie,Bored Term,N/A,Juul,Bone
1009,Blue,Acid,Glowing Eyes,N/A,Closed,Bone
1010,Off White,Zombie,Bored Eyes,N/A,Closed,Bone
1012,Grey,Robot,Eyepatch,Army Beret,Closed,Bone
1014,Khaki,Zombie,Lovey,Strawhat,Closed,Bone
1016,Mauve,Sand,Eyepatch,N/A,Cigarette,Winky
1018,Khaki,Pale,Bored Eyes,TV,Grass,Bone
102,Mauve,Sand,Angry Term,Cheese,Laughing Devil,Bone
1021,Off White,Pale,Term Eyes,N/A,Grass,Bone
1023,Mauve,Zombie,Bored Eyes,Toilet Paper,Closed,Bone
1025,Mauve,Sand,Eyes,Tall Hat,Closed,Bone
1027,Mauve,Dark,Eyepatch,Army Beret,Grass,Bone
1029,Mauve,Zombie,3D Glasses,Toilet Paper,Grass,Bone
1030,Sand,Black,Eyes,Backwards Cap,Pipe,Bone
1032,Blue,Blue,Eyes,Halo,Bubblegum,Bone
1034,Khaki,Dark,Bored Eyes,Toilet Paper,Closed,Bone
1036,Clay,Blue,Glowing Bored Eyes,Artist Cap,Closed,Bone
1038,Off White,Acid,Angry,N/A,Closed,Goblin
104,Blue,Blue,Eyes,Cowboy,Devil,Bone
1041,Blue,Dark,Glowing Eyes,Devil,Closed,Bone
