token_id,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
0,Orange,Striped Tee,Silver Hoop,X Eyes,Robot,N/A,Discomfort
10,Aquamarine,Navy Striped Tee,N/A,Eyepatch,Dmt,Bayc Hat Red,Bored
1000,Aquamarine,Toga,N/A,Hypnotized,Brown,Prussian Helmet,Phoneme  ooo
1002,Orange,Prison Jumpsuit,N/A,Coins,Dark Brown,N/A,Bored Cigarette
1004,Purple,Sailor Shirt,Silver Stud,Wide Eyed,Black,Halo,Small Grin
1006,Orange,Smoking Jacket,N/A,Coins,White,Cowboy Hat,Bored Unshaven
1008,Yellow,Biker Vest,N/A,Bored,Gray,Army Hat,Grin Diamond Grill
101,Army Green,Navy Striped Tee,N/A,Eyepatch,Gray,Fisherman's Hat,Bored
1011,Yellow,Sailor Shirt,N/A,Bored,Death Bot,N/A,Bored
1013,Army Green,Tuxedo Tee,N/A,Sleepy,Gray,N/A,Bored
1015,New Punk Blue,Sleeveless T,N/A,Scumbag,Black,Army Hat,Bored Bubblegum
1017,Purple,Bayc T Black,N/A,Bored,Black,Seaman's Hat,Bored Unshaven
1019,Army Green,Bayc T Black,N/A,Wide Eyed,Death Bot,Bowler,Bored Party Horn
1020,Yellow,Service,N/A,Wide Eyed,Brown,N/A,Bored
1022,Orange,N/A,N/A,Bored,Brown,Beanie,Grin Gold Grill
1024,Army Green,Bayc T Red,Diamond Stud,3d,Golden Brown,Party Hat 1,Rage
1026,Orange,Leather Punk Jacket,N/A,Bored,Golden Brown,N/A,Bored Unshaven Cigarette
1028,Army Green,Hawaiian,Silver Hoop,Coins,Brown,Party Hat 1,Dumbfounded
103,Purple,Leather Jacket,N/A,Sleepy,Black,Short Mohawk,Phoneme L
1031,Blue,N/A,N/A,Zombie,Brown,Fez,Bored Dagger
1033,Orange,Work Vest,N/A,Bored,White,Vietnam Era Helmet,Bored
1035,Army Green,N/A,Gold Stud,Closed,Black,Baby's Bonnet,Bored Cigarette
1037,Blue,Hawaiian,Gold Hoop,Bored,Robot,Beanie,Bored
1039,Yellow,Smoking Jacket,N/A,Hypnotized,Dark Brown,Bayc Flipped Brim,Phoneme Vuh
1040,Army Green,Guayabera,Silver Stud,Eyepatch,Pink,N/A,Tongue Out
