token_id,Clothing,Core,Eyes,Head,Relic,Weapon
1,N/A,Caged Geminite,Tricemore,Crystalline Helm,KodaPendant,Shards of Iridia
1000,Bark Moss Armor,Purple Disco Monster,Purple Flame,Deep Sea,N/A,N/A
1003,Mace Plate,Patches,Carapace,Blue Crown,N/A,N/A
1009,N/A,Leaf Me Alone,Forlorn Fuzz,Blossom Bud,N/A,N/A
1010,N/A,Caged Geminite,Boomerang,Geo Stag,KodaPendant,Fancy Pickaxe
1012,Indigo Cape,Husk,Arachnid,Loggin Noggin,N/A,Coral Clubber
1016,N/A,Wrinkles,Carapace,Nuts For Nuts,N/A,Skulds Renown
102,Daybreak Armor,Woodland,Smile,Twisty Horn,N/A,Truth Teller
1023,Direplate,Amoebatopia,Stare Down,Cracked Horn,N/A,N/A
1032,Coral Core Armor,Flora Smock,Deep Stares,Infinite Vision,N/A,N/A
1036,Badlands Elite Armor,Whirlpool,Slimey Terror,Sluggy,N/A,N/A
1038,N/A,Maw,Steely,Scraggly,KodaPendant,N/A
1041,N/A,Ivy Swirls,Bugged Out,Jade Carapace,N/A,N/A
1044,Cobalt Squad Belt,Space Blob,Coin Slots,Manta Ray,N/A,N/A
1046,Badlands Elite Armor,Patches,Every Which Way,Creepy Crawly,N/A,Gallows Scape
1050,Travel Outfit,Lava Lamp,Third Eye,Sun Goop,N/A,N/A
1058,Gemstone Paladin,Cushioned,Crystal Grinder,Twisty Horn,N/A,N/A
1061,N/A,Skeletron,Mirestare,Aqua Elf,N/A,Dual Eclipse
1064,Hardened Leather Armor,Storm Tracks,Peep Holes,Arachnid,N/A,N/A
1066,N/A,Pure Sinew,Intense,Fish Bowl,N/A,N/A
107,Barely There Armor,Onyx Doom,Cyber Sight,Goliath Bull,KodaPendant,N/A
1071,Ancient Chief,Spotty,Caged,Sluggy,N/A,N/A
1077,N/A,8 Knit,Glazey Gaze,Copper Coil,N/A,N/A
1082,Elite Crimson Armor,Petrified,Globular Gaze,Woodland King,KodaPendant,N/A
1085,Adventurer Mantle,Globetrotter,Snake Eyes,Blossom Bud,N/A,Never Bokken
