token_id,Background,Bag,Ears,Eyes,Fannypack,Feet,Hat,Left Arm,Legs,Mouth,Neck,Nose,Outerwear,Overhead,Right Arm,Shoe Gum,Sleeves,Special,Upper Body
1,Blue,N/A,N/A,Black Nerd Glasses,N/A,Bubblegum Blue Sneakers,Big Hat,Skull,Green Sweatpants,N/A,N/A,N/A,N/A,N/A,Swinging,N/A,Long Sleeves,N/A,Yellow / Blue Hoodie Jacket with Hood Down
100,Blue,N/A,Headphones with Music,N/A,N/A,Tan Boots,Light Blue Beanie,Swinging,Green Pants,N/A,N/A,N/A,Grey Belted Coat,N/A,Dog,N/A,Long Sleeves,N/A,Blue Turtleneck
1001,Lasers,N/A,Pencil,Black Nerd Glasses,N/A,Black Shoes,Blue X Beanie,Swinging,Transparent,Toothpick,N/A,N/A,N/A,N/A,Duffel Bag,N/A,Transparent,Diamonds,Transparent
1003,Blue,Brown Backpack,N/A,Black Nerd Glasses,N/A,Blue Shoes,N/A,Swinging,Blue Pants,N/A,N/A,N/A,N/A,Halo,Swinging,N/A,Long Sleeves,N/A,Pink / Blue Hoodie Jacket with Hood Up
1005,Blue,N/A,N/A,Pointy Glasses,N/A,White Shoes,Blue Beanie,Swinging,Pink Skirt,N/A,N/A,N/A,N/A,N/A,Cat,N/A,Long Sleeves,N/A,Grey / White V-Neck Sweater and Shirt
1007,Blue,N/A,N/A,Eye Patch,N/A,White Shoes,Blue 5 Panel Cap,Baseball Bat,Blue Tracksuit Pants,N/A,N/A,N/A,N/A,N/A,Swinging,N/A,Short Sleeves,N/A,Light Blue Loose Shirt
1009,Purple,N/A,N/A,N/A,N/A,Ocean Blue Sneakers,Blue 5 Panel Cap,Paint Roller,Green Tracksuit Pants,N/A,N/A,N/A,N/A,N/A,Swinging,N/A,Short Sleeves,N/A,Black T-Shirt
1010,Blue,N/A,N/A,Black Nerd Glasses,N/A,Blue Shoes,Light Blue Beanie,Swinging,Tan Pants,N/A,N/A,N/A,N/A,N/A,Swinging,Gum,Long Sleeves,N/A,Red / White Varsity Jacket
1012,Purple,Brown Backpack,N/A,Sunglasses,N/A,Pink Slippers,Light Blue Beanie,Swinging,Dark Blue Shorts,Bubblegum,N/A,N/A,N/A,N/A,Swinging,N/A,Long Sleeves,N/A,Dark Blue / White Sweater and Shirt
1014,Blue,N/A,N/A,White Nerd Glasses,N/A,Summer Night Sneakers,Tan Bucket Hat,Swinging,Dark Blue Shorts,Bing Bong Stick,N/A,N/A,N/A,N/A,Swinging,N/A,Long Sleeves,N/A,Cream Sweatshirt
1016,Purple,N/A,N/A,N/A,N/A,Tan Boots,Visor,Swinging,Pink Shorts,N/A,Scarf,Bandage,N/A,N/A,Tennis Racket,N/A,Short Sleeves,N/A,White Loose Shirt
1018,Pink,N/A,N/A,White Nerd Glasses,N/A,Green Shoes,Rain Hat,Bomb,Blue Pants,N/A,N/A,N/A,Yellow Coat,N/A,Cat,N/A,Long Sleeves,N/A,Grey / White V-Neck Sweater Vest and Shirt
102,Blue,N/A,Headphones with Music,White Nerd Glasses,N/A,Summer Day Sneakers,N/A,Swinging,Tan Pants,Bandana,N/A,N/A,N/A,N/A,Swinging,N/A,Short Sleeves,N/A,Grey / White V-Neck Sweater Vest and Shirt
1021,Blue,N/A,N/A,White Glasses,Green Fannypack,Red Shoes,Blue Bucket Hat,Swinging,Light Blue Shorts,N/A,N/A,N/A,N/A,N/A,Swinging,N/A,Long Sleeves,N/A,Blue / White Sweater and Shirt
1023,Green,N/A,N/A,Eye Patch,N/A,Yellow Boots,N/A,Skateboard,Red Tracksuit Pants,Radioactive Pipe,N/A,N/A,N/A,N/A,Swinging,N/A,Long Sleeves,N/A,Pink Zipper Hoodie with Hood Up
1025,Green,N/A,N/A,Brown Glasses,N/A,Yellow Boots,Green Pointy Beanie,Swinging,Green Sweatpants,N/A,N/A,N/A,N/A,N/A,Swinging,N/A,Long Sleeves,N/A,Blue Hoodie with Hood Down
1027,Green,N/A,N/A,N/A,N/A,Black Shoes,Tan Baseball Cap,Swinging,Green Tracksuit Pants,N/A,N/A,N/A,N/A,N/A,Laptop,N/A,Long Sleeves,N/A,Blue Zipper Hoodie with Hood Down
1029,Blue,N/A,N/A,Swirly Glasses,N/A,Green Boots,N/A,Shovel,Tan Pants,Toothpick,N/A,N/A,White Coat,N/A,Tennis Racket,N/A,Long Sleeves,N/A,Blue Loose Shirt
1030,Blue,N/A,N/A,Nose Glasses with Black Hair,N/A,Green Shoes,White / Turquoise Backwards Cap,Spray Can,Light Blue Shorts,Pipe,N/A,N/A,N/A,N/A,Book,N/A,Long Sleeves,N/A,Green / White / Blue Tracksuit Jacket
1032,Yellow,N/A,N/A,Cool Glasses,N/A,Summer Day Sneakers,N/A,Money Bag,Red Tracksuit Pants,N/A,N/A,N/A,N/A,N/A,Book,N/A,Long Sleeves,N/A,Pink Zipper Hoodie with Hood Up
1034,Blue,Cream Chest Bag,N/A,Pointy Glasses,N/A,Ice Grey Sneakers,N/A,Juice,Pink Skirt,N/A,N/A,N/A,N/A,N/A,Swinging,N/A,Long Sleeves,N/A,Grey Sweatshirt
1036,Purple,Grey Backpack,N/A,N/A,N/A,Blue Shoes,White / Turquoise Backwards Cap,Swinging,Lavender Pants,N/A,N/A,N/A,N/A,N/A,Swinging,N/A,Long Sleeves,N/A,Blue / White Sweater and Shirt
1038,Yellow,N/A,N/A,Pointy Glasses,N/A,White Shoes,Knitted Bobble Hat,Swinging,White Shorts,N/A,N/A,N/A,N/A,N/A,Tennis Racket,N/A,Short Sleeves,N/A,Dark Blue / White Sweater Vest and Shirt
104,Blue,Tote,N/A,Black Glasses,N/A,Dark Blue Slippers,N/A,Swinging,Lavender Pants,Toothpick,N/A,N/A,N/A,N/A,Book,N/A,Long Sleeves,N/A,Purple Hoodie with Hood Up
1041,Yellow,Grey Backpack with Balloons,N/A,N/A,N/A,Blue Shoes,N/A,Juice,Tan Pants,Toothpick,N/A,N/A,N/A,N/A,Swinging,N/A,Long Sleeves,N/A,Blue Hoodie with Hood Up
