token_id,Distance to District,Distance to Road,Size,Type
1,0,4,5,Estate
100,N/A,9,10,Estate
1001,N/A,N/A,0,Estate
1003,N/A,N/A,0,Estate
1005,N/A,N/A,0,Estate
1007,N/A,N/A,0,Estate
1009,7,5,2,Estate
1010,N/A,N/A,0,Estate
1012,N/A,N/A,0,Estate
1014,N/A,N/A,0,Estate
1016,6,9,9,Estate
1018,N/A,0,10,Estate
102,8,6,12,Estate
1021,N/A,4,6,Estate
1023,N/A,0,2,Estate
1025,N/A,N/A,0,Estate
1027,N/A,0,2,Estate
1029,N/A,5,8,Estate
1030,N/A,2,9,Estate
1032,N/A,N/A,0,Estate
1034,N/A,0,4,Estate
1036,5,0,3,Estate
1038,N/A,N/A,0,Estate
104,N/A,N/A,0,Estate
1041,N/A,N/A,0,Estate
