token_id,Character,Edition #,Gary Originally Owned,Just Art,Rarity,Spectacular Type,Token Benefit
0,"""Content"" Condor",1 of 1,N/A,N/A,Spectacular,Bubble Gum,Admission
10,"""Content"" Condor",3 of 20,N/A,N/A,Core,N/A,Admission
1000,Be The Bigger Person,18 of 20,N/A,Just Art,Core,N/A,Admission
10001,Wise Wasp,14 of 20,N/A,N/A,Core,N/A,Admission
10003,Wise Wasp,15 of 20,N/A,N/A,Core,N/A,Admission
10005,Wise Wasp,16 of 20,N/A,N/A,Core,N/A,Admission
10007,Wise Wasp,18 of 20,G.O.O.,N/A,Core,N/A,Admission
10009,Wise Wasp,7 of 8,G.O.O.,N/A,Rare,N/A,Admission
10010,Wise Wasp,8 of 8,G.O.O.,N/A,Rare,N/A,Admission
10012,Wise Wasp,2 of 2,N/A,N/A,Epic,N/A,Admission
10014,Witty Weasel,1 of 1,N/A,N/A,Spectacular,Bubble Gum,Admission
10016,Witty Weasel,1 of 1,N/A,N/A,Spectacular,Gold,Admission
10018,Witty Weasel,1 of 8,N/A,N/A,Rare,N/A,Admission
1002,Be The Bigger Person,20 of 20,N/A,Just Art,Core,N/A,Admission
10021,Witty Weasel,3 of 20,N/A,N/A,Core,N/A,Admission
10023,Witty Weasel,5 of 20,N/A,N/A,Core,N/A,Admission
10025,Witty Weasel,2 of 8,N/A,N/A,Rare,N/A,Admission
10027,Witty Weasel,6 of 20,N/A,N/A,Core,N/A,Admission
10029,Witty Weasel,8 of 20,N/A,N/A,Core,N/A,Admission
10030,Witty Weasel,9 of 20,N/A,N/A,Core,N/A,Admission
10032,Witty Weasel,2 of 5,N/A,N/A,Very Rare,N/A,Admission
10034,Witty Weasel,5 of 8,N/A,N/A,Rare,N/A,Admission
10036,Witty Weasel,11 of 20,N/A,N/A,Core,N/A,Admission
10038,Witty Weasel,13 of 20,N/A,N/A,Core,N/A,Admission
1004,Be The Bigger Person,1 of 1,N/A,Just Art,Spectacular,Gold,Admission
