token_id,trait_type,value
1,Land Area (km^2),442.42
1,Water Area (km^2),69.58
1,Land Bias (%),86.4
1,Highest Point From Sea Level (m),252.35
1,Lowest Point From Sea Level (m),331.66
1,Elevation Variation (m),-80
1,Annual Rainfall (mm),591
1,Wildlife Density,High
1,Aquatic Life Density,Low
1,Foliage Density,Very High
1,Lumber (%),25.9
1,Coal (%),7.2
1,Oil (%),3.4
1,Dirt (%),33.1
1,Common Metals (%),13
1,Rare Metals (%),2.5
1,Gemstones (%),1.3
1,Fresh Water (%),3
1,Salt Water (%),10.6
