token_id,Background,Clothes,Earrings,Eyes,Face Accessories,Facial Features,Hairstyle,Lips Color,Mouth,Necklace,Skin Tone
0,Soft Purple,Freedom Is Power Tee,Ocean Hoops,Brown Straight,N/A,Heart Tattoo,Platinum Pixie,Flashy Blue,Bubble Gum,Malka,Light Warm Yellow
10,Green Purple,80s Silk Shirt,Flower Power,Yellow Eye Roll,70s Feels,Treble Bass Clef Tattoo,Fuchsia,Burgundy,Slightly Open,Amazonite Energy,Medium Olive
1000,Yellow Pink,Red Leather Jacket,60s Fantasy,Green Eye Roll,3D Glasses,Marilyn,Feeling Turquoise,Purple,Slight Smile,Amazonite Energy,Light Warm Olive
1002,Dark Purple,White Tee,N/A,Brown Eye Roll,N/A,N/A,Curly Ponytail,Burgundy,Slightly Open,Gold Ruler,Deep Bronze
1004,Soft Purple,Cherry Tee,Classic Hoops,Black Eye Roll,N/A,Marilyn,Lollipop,Passion Red,Slight Smile,Malka,Cool Blue
1006,Yellow Pink,Fantasy Shirt,Pearls,Green To The Right,N/A,Rainbow,Lucky Green,Burgundy,Whistle,Back To The 90s,Light Warm Olive
1008,Red Turquoise,Little Red Dress,Flower Power,Blue To The Left,N/A,Red Blue Bolt,Bob,Passion Red,Slighly Open,Sun Keeper,Light Warm Yellow
101,Orange Yellow,Adventurer,Pearls,Blue To The Right,Black Mask,Eyebrow Piercing,Boy Cut,Passion Red,Slight Smile,N/A,Medium Gold
1011,Pink Pastel,Steampunk Octopus Top,N/A,Green Straight,N/A,Freckles,Bun,Purple,Countryside,N/A,Deep Warm Gold
1013,Dark Purple,Psychedelic Dress,Classic Hoops,Green To The Left,N/A,Eyebrow Tattoo MMXXI,Boy Cut,Flashy Blue,Bubble Gum,N/A,Cyber Green
1015,Orange Yellow,Faux Fur Coat,Silver Drops,Brown To The Left,N/A,Marilyn,Curly Ponytail,Purple,Countryside,Sun Keeper,Light Warm Yellow
1017,Dark Emerald,Painter's Overall,N/A,Purple Eye Roll,N/A,Leader,Curly Pearl Updo,Passion Red,Stern,Sun Keeper,Deep Neutral
1019,Dark Emerald,White Tee,Triple Rings,Black Straight,N/A,Nose Piercing,Silver,Purple,Slighly Open,Satin Choker,Deep Bronze
1020,Purple Pink,Cabaret Corset,N/A,Black To The Right,Cateye Sunglasses,Freckles,Rose Hair,Passion Red,Stern,Malka,Medium Olive
1022,Red Turquoise,Little Red Dress,N/A,Black To The Right,Black Round Retro,N/A,Natural Red,Purple,Whistle,Golden Bib,Deep Warm Gold
1024,Dark Purple,Psychedelic Dress,Spikes,Brown Straight,Round Glasses,Eyebrow Tattoo MMXXI,Platinum Pixie,Purple,Slight Smile,N/A,Deep Neutral
1026,Orange Yellow,Freedom Is Power Tee,N/A,Brown Eye Roll,N/A,N/A,Long Dark,Burgundy,Surprised,Sun Keeper,Light Warm Yellow
1028,Red Turquoise,Cherry Tee,Silver Drops,Yellow Eye Roll,Round Glasses,Flashy Blue,Cotton Candy,Passion Red,Slightly Open,Rainbow,Deep Neutral
103,Blue Green,Little Red Dress,Spikes,Blue Eye Roll,70s Feels,N/A,Silver,Flashy Blue,Stern,N/A,Cyber Green
1031,Pink Pastel,Freedom Is Power Tee,White Ovals,Black To The Left,Black Round Retro,N/A,Bun,Burgundy,Surprised,Malka,Deep Neutral
1033,Dark Emerald,Cabaret Corset,N/A,Black Straight,N/A,Feline Eyes,N/A,Passion Red,Stern,WoW Coin,Cool Blue
1035,Dark Emerald,Queen's Dress,60s Fantasy,Black Straight,Round Glasses,Antoinette,Fuchsia,Burgundy,Stern,Tutti Frutti Beads,Light Medium Warm Gold
1037,Soft Purple,Freedom Is Power Tee,Triple Rings,Green Straight,N/A,Marilyn,Purple Rainbow,Passion Red,Stern,N/A,Deep Bronze
1039,Dark Emerald,Queen's Dress,Silver Drops,Brown Straight,Classic Aviator WoW,Claw Scar,Royal,Party Pink,Slighly Open,Sun Keeper,Light Medium Warm Gold
1040,Orange Yellow,Polka Dot Top,Silver Drops,Brown Straight,Black Round Retro,Marilyn,Lioness,Gold,Stern,Amazonite Energy,Medium Gold
