contract_address,name,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,total_minted,num_owners,average_price,market_cap,floor_price,floor_price_historic_one_day,floor_price_historic_seven_day,floor_price_historic_thirty_day,updated_date
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,Wrapped Cryptopunks,2097.713431,1.273738891,42,49.94555789,7326.650837,-0.543526418,147,49.84116216,57469.6997,0.233566716,1068,53.81058025,1040705.96,32615,9998,9998,5608,31.90881375,498311.9393,51.45,49.4,51.45,63.33,2023-05-02T21:27:34.105606
0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,1608.346229,-0.061194651,141,11.40671084,11372.32374,-0.320642601,1032,11.01969354,52317.23826,-0.243044916,4449,11.7593253,832353.4002,60845,19468,19468,11139,13.67989811,214531.3939,11.6398,10.99,11.0555,13.35,2023-05-02T21:27:39.700450
0x60e4d786628fea6478f785a6d7e704777c86a7c6,MutantApeYachtClub,161.5490679,0.590510362,96,1.682802791,1109.083968,-0.068172774,615,1.803388566,14803.2396,-0.73969723,7050,2.099750297,603294.3082,167303,60158,60158,19022,3.605998148,108488.2493,1.27,1.3099,1.288,1.7759,2023-05-02T21:27:45.278487
0xed5af388653567af2f388e6224dc7c4b3241c544,Azuki,3894.48906,1.007774038,236,16.50207229,10749.10157,0.063776601,691,15.55586335,42524.63872,0.12425908,2804,15.16570568,504048.2076,44729,10000,10000,4653,11.26893531,155558.6335,17,15.9,14.9888,13.9988,2023-05-02T21:27:45.257312
0xd774557b647330c91bf44cfeab205095f7e6c367,Nakamigos,139.1022656,2.282108482,60,2.318371093,519.7745985,-0.496472171,535,0.971541306,3338.730601,-0.368482501,3181,1.049585225,503430.0368,237907,218967,218967,39757,2.116079127,212735.4851,23,23,0.089,0.054,2023-05-02T21:27:45.382633
0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,Otherdeed,139.1022656,2.282108482,60,2.318371093,519.7745985,-0.496472171,535,0.971541306,3338.730601,-0.368482501,3181,1.049585225,503430.0368,237907,218967,218967,39757,2.116079127,212735.4851,23,23,0.089,0.054,2023-05-02T21:27:45.317220
0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,Beanz,139.1022656,2.282108482,60,2.318371093,519.7745985,-0.496472171,535,0.971541306,3338.730601,-0.368482501,3181,1.049585225,503430.0368,237907,218967,218967,39757,2.116079127,212735.4851,23,23,0.1,0.054,2023-05-02T21:27:51.135184
0x4b15a9c28034dc83db40cd810001427d3bd7163d,HV-MTL,100.04187,-0.0743681,31,3.227157097,722.1809499,-0.627833622,209,3.455411244,11003.25168,-0.532148916,3784,2.907836068,386079.4542,48286,19479,19479,9602,7.995681029,67307.95561,3.03,3.18,2.945,3.22,2023-05-02T21:27:50.829140
0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,CloneX,248.0351198,-0.249625191,101,2.455793265,2399.120353,0.014481971,960,2.499083701,7637.167694,-0.778367338,2751,2.776142383,316296.5504,32965,10000,10000,6470,9.594920383,24990.83701,2.499,2.515,2.51,3.65,2023-05-02T21:27:50.833429
0xbd3531da5cf5857e7cfaa92426877b022e612cf8,PudgyPenguins,1738.6488,-0.442234486,32,54.332775,6698.1667,-0.394919424,128,52.32942734,97006.04774,-0.481495014,1747,55.52721679,293548.6937,6222,764,764,128,47.1791536,39979.68249,,,,65.4,2023-05-02T21:27:56.387581
